,year,qtr,state_fips,low,high
1632,2007,1,1,1.5,1.6
1633,2007,1,2,1.6,1.72
1635,2007,1,5,1.32,1.4
1638,2007,1,9,1.5,1.6
1639,2007,1,10,1.5,1.6
1640,2007,1,11,0.41,1.11
1642,2007,1,13,1.84,2.06
1644,2007,1,16,1.84,2.06
1645,2007,1,17,1.6,1.72
1646,2007,1,18,1.5,1.6
1647,2007,1,19,1.24,1.32
1648,2007,1,20,1.24,1.32
1649,2007,1,21,1.4,1.5
1650,2007,1,22,1.24,1.32
1651,2007,1,23,1.72,1.84
1653,2007,1,25,1.6,1.72
1654,2007,1,26,1.72,1.84
1655,2007,1,27,1.72,1.84
1656,2007,1,28,1.4,1.5
1657,2007,1,29,1.5,1.6
1658,2007,1,30,1.84,2.06
1659,2007,1,31,1.32,1.4
1661,2007,1,33,1.84,2.06
1662,2007,1,34,1.72,1.84
1663,2007,1,35,1.72,1.84
1664,2007,1,36,1.11,1.24
1665,2007,1,37,1.72,1.84
1666,2007,1,38,0.41,1.11
1667,2007,1,39,1.5,1.6
1668,2007,1,40,1.32,1.4
1670,2007,1,42,1.32,1.4
1671,2007,1,44,1.84,2.06
1672,2007,1,45,1.84,2.06
1673,2007,1,46,1.5,1.6
1674,2007,1,47,1.5,1.6
1675,2007,1,48,1.24,1.32
1676,2007,1,49,1.84,2.06
1677,2007,1,50,1.5,1.6
1680,2007,1,54,1.32,1.4
1681,2007,1,55,1.32,1.4
1682,2007,1,56,1.24,1.32
1683,2007,2,1,1.6,1.72
1684,2007,2,2,1.72,1.84
1686,2007,2,5,1.4,1.5
1689,2007,2,9,1.6,1.72
1690,2007,2,10,1.6,1.72
1691,2007,2,11,0.41,1.11
1693,2007,2,13,1.84,2.06
1696,2007,2,17,1.6,1.72
1697,2007,2,18,1.5,1.6
1698,2007,2,19,1.24,1.32
1699,2007,2,20,1.24,1.32
1700,2007,2,21,1.4,1.5
1701,2007,2,22,1.32,1.4
1702,2007,2,23,1.72,1.84
1704,2007,2,25,1.6,1.72
1705,2007,2,26,1.72,1.84
1706,2007,2,27,1.72,1.84
1707,2007,2,28,1.5,1.6
1708,2007,2,29,1.5,1.6
1709,2007,2,30,1.84,2.06
1710,2007,2,31,1.32,1.4
1713,2007,2,34,1.84,2.06
1714,2007,2,35,1.72,1.84
1715,2007,2,36,1.24,1.32
1716,2007,2,37,1.84,2.06
1717,2007,2,38,1.11,1.24
1718,2007,2,39,1.5,1.6
1719,2007,2,40,1.32,1.4
1721,2007,2,42,1.4,1.5
1722,2007,2,44,1.84,2.06
1723,2007,2,45,1.84,2.06
1724,2007,2,46,1.5,1.6
1725,2007,2,47,1.5,1.6
1726,2007,2,48,1.24,1.32
1727,2007,2,49,1.84,2.06
1728,2007,2,50,1.6,1.72
1731,2007,2,54,1.32,1.4
1732,2007,2,55,1.4,1.5
1733,2007,2,56,1.32,1.4
1734,2007,3,1,1.6,1.72
1735,2007,3,2,1.72,1.84
1737,2007,3,5,1.4,1.5
1740,2007,3,9,1.72,1.84
1741,2007,3,10,1.72,1.84
1742,2007,3,11,0.41,1.11
1747,2007,3,17,1.72,1.84
1748,2007,3,18,1.6,1.72
1749,2007,3,19,1.32,1.4
1750,2007,3,20,1.4,1.5
1751,2007,3,21,1.5,1.6
1752,2007,3,22,1.4,1.5
1753,2007,3,23,1.84,2.06
1755,2007,3,25,1.72,1.84
1756,2007,3,26,1.72,1.84
1757,2007,3,27,1.84,2.06
1758,2007,3,28,1.5,1.6
1759,2007,3,29,1.6,1.72
1760,2007,3,30,1.84,2.06
1761,2007,3,31,1.32,1.4
1764,2007,3,34,1.84,2.06
1765,2007,3,35,1.84,2.06
1766,2007,3,36,1.32,1.4
1767,2007,3,37,1.84,2.06
1768,2007,3,38,1.11,1.24
1769,2007,3,39,1.5,1.6
1770,2007,3,40,1.4,1.5
1772,2007,3,42,1.5,1.6
1775,2007,3,46,1.5,1.6
1776,2007,3,47,1.6,1.72
1777,2007,3,48,1.24,1.32
1778,2007,3,49,1.84,2.06
1779,2007,3,50,1.6,1.72
1782,2007,3,54,1.4,1.5
1783,2007,3,55,1.5,1.6
1784,2007,3,56,1.4,1.5
1785,2007,4,1,1.6,1.72
1786,2007,4,2,1.72,1.84
1788,2007,4,5,1.4,1.5
1791,2007,4,9,1.72,1.84
1792,2007,4,10,1.72,1.84
1793,2007,4,11,0.41,1.11
1798,2007,4,17,1.72,1.84
1799,2007,4,18,1.6,1.72
1800,2007,4,19,1.32,1.4
1801,2007,4,20,1.32,1.4
1802,2007,4,21,1.4,1.5
1803,2007,4,22,1.4,1.5
1804,2007,4,23,1.84,2.06
1806,2007,4,25,1.6,1.72
1807,2007,4,26,1.84,2.06
1808,2007,4,27,1.72,1.84
1809,2007,4,28,1.5,1.6
1810,2007,4,29,1.5,1.6
1811,2007,4,30,1.84,2.06
1812,2007,4,31,1.32,1.4
1815,2007,4,34,1.84,2.06
1816,2007,4,35,1.84,2.06
1817,2007,4,36,1.32,1.4
1818,2007,4,37,1.84,2.06
1819,2007,4,38,0.41,1.11
1820,2007,4,39,1.5,1.6
1821,2007,4,40,1.32,1.4
1823,2007,4,42,1.4,1.5
1826,2007,4,46,1.6,1.72
1827,2007,4,47,1.6,1.72
1828,2007,4,48,1.24,1.32
1830,2007,4,50,1.6,1.72
1833,2007,4,54,1.32,1.4
1834,2007,4,55,1.4,1.5
1835,2007,4,56,1.4,1.5
