,year,qtr,state_fips,low,high
3672,2017,1,1,1.32,1.4
3673,2017,1,2,1.6,1.72
3674,2017,1,4,1.6,1.72
3675,2017,1,5,1.11,1.24
3676,2017,1,6,1.72,1.84
3677,2017,1,8,1.72,1.84
3678,2017,1,9,1.4,1.5
3679,2017,1,10,1.4,1.5
3680,2017,1,11,0.41,1.11
3681,2017,1,12,1.6,1.72
3682,2017,1,13,1.4,1.5
3684,2017,1,16,1.84,2.06
3685,2017,1,17,1.11,1.24
3686,2017,1,18,1.11,1.24
3687,2017,1,19,1.11,1.24
3688,2017,1,20,1.11,1.24
3689,2017,1,21,1.11,1.24
3690,2017,1,22,1.24,1.32
3691,2017,1,23,1.5,1.6
3692,2017,1,24,1.84,2.06
3693,2017,1,25,1.24,1.32
3694,2017,1,26,1.11,1.24
3695,2017,1,27,1.24,1.32
3696,2017,1,28,1.32,1.4
3697,2017,1,29,1.24,1.32
3698,2017,1,30,1.72,1.84
3699,2017,1,31,1.11,1.24
3700,2017,1,32,1.6,1.72
3701,2017,1,33,1.5,1.6
3702,2017,1,34,1.5,1.6
3703,2017,1,35,1.6,1.72
3704,2017,1,36,0.41,1.11
3705,2017,1,37,1.5,1.6
3706,2017,1,38,0.41,1.11
3707,2017,1,39,1.11,1.24
3708,2017,1,40,1.24,1.32
3709,2017,1,41,1.6,1.72
3710,2017,1,42,1.11,1.24
3711,2017,1,44,1.5,1.6
3712,2017,1,45,1.6,1.72
3713,2017,1,46,1.11,1.24
3714,2017,1,47,1.24,1.32
3715,2017,1,48,1.11,1.24
3716,2017,1,49,1.6,1.72
3717,2017,1,50,1.4,1.5
3718,2017,1,51,1.84,2.06
3719,2017,1,53,1.6,1.72
3720,2017,1,54,1.24,1.32
3721,2017,1,55,1.11,1.24
3722,2017,1,56,1.5,1.6
3723,2017,2,1,1.4,1.5
3724,2017,2,2,1.72,1.84
3725,2017,2,4,1.72,1.84
3726,2017,2,5,1.24,1.32
3727,2017,2,6,1.72,1.84
3728,2017,2,8,1.72,1.84
3729,2017,2,9,1.4,1.5
3730,2017,2,10,1.5,1.6
3731,2017,2,11,0.41,1.11
3732,2017,2,12,1.72,1.84
