,hpi_type,hpi_flavor,frequency,level,place_name,place_id,yr,period,index_nsa,index_sa
0,traditional,monthly,USA or Census Division,East North Central Division,DV_ENC,2002,purchase-only,1,163.77,164.35
1,traditional,monthly,USA or Census Division,East North Central Division,DV_ENC,2002,purchase-only,2,164.29,164.52
2,traditional,monthly,USA or Census Division,East North Central Division,DV_ENC,2002,purchase-only,3,165.8,165.35
3,traditional,monthly,USA or Census Division,East North Central Division,DV_ENC,2002,purchase-only,4,166.69,165.67
4,traditional,monthly,USA or Census Division,East North Central Division,DV_ENC,2002,purchase-only,5,168.19,166.23
5,traditional,monthly,USA or Census Division,East North Central Division,DV_ENC,2002,purchase-only,6,169.44,167.12
6,traditional,monthly,USA or Census Division,East North Central Division,DV_ENC,2002,purchase-only,7,169.95,167.5
7,traditional,monthly,USA or Census Division,East North Central Division,DV_ENC,2002,purchase-only,8,170.37,168.1
8,traditional,monthly,USA or Census Division,East North Central Division,DV_ENC,2002,purchase-only,9,170.73,168.88
9,traditional,monthly,USA or Census Division,East North Central Division,DV_ENC,2002,purchase-only,10,170.78,169.27
10,traditional,monthly,USA or Census Division,East North Central Division,DV_ENC,2002,purchase-only,11,171.23,170.56
11,traditional,monthly,USA or Census Division,East North Central Division,DV_ENC,2002,purchase-only,12,170.68,170.71
12,traditional,monthly,USA or Census Division,East South Central Division,DV_ESC,2002,purchase-only,1,153.05,152.53
13,traditional,monthly,USA or Census Division,East South Central Division,DV_ESC,2002,purchase-only,2,152.01,151.94
14,traditional,monthly,USA or Census Division,East South Central Division,DV_ESC,2002,purchase-only,3,153.75,153.55
15,traditional,monthly,USA or Census Division,East South Central Division,DV_ESC,2002,purchase-only,4,153.65,153.09
16,traditional,monthly,USA or Census Division,East South Central Division,DV_ESC,2002,purchase-only,5,154.47,153.64
17,traditional,monthly,USA or Census Division,East South Central Division,DV_ESC,2002,purchase-only,6,155.46,153.88
18,traditional,monthly,USA or Census Division,East South Central Division,DV_ESC,2002,purchase-only,7,155.52,154.19
19,traditional,monthly,USA or Census Division,East South Central Division,DV_ESC,2002,purchase-only,8,156.88,155.48
20,traditional,monthly,USA or Census Division,East South Central Division,DV_ESC,2002,purchase-only,9,156.2,155.11
21,traditional,monthly,USA or Census Division,East South Central Division,DV_ESC,2002,purchase-only,10,157.54,156.54
22,traditional,monthly,USA or Census Division,East South Central Division,DV_ESC,2002,purchase-only,11,157.3,156.77
23,traditional,monthly,USA or Census Division,East South Central Division,DV_ESC,2002,purchase-only,12,157.32,157.13
24,traditional,monthly,USA or Census Division,Middle Atlantic Division,DV_MA,2002,purchase-only,1,140.73,140.52
25,traditional,monthly,USA or Census Division,Middle Atlantic Division,DV_MA,2002,purchase-only,2,141.07,141.71
26,traditional,monthly,USA or Census Division,Middle Atlantic Division,DV_MA,2002,purchase-only,3,142.82,143.19
27,traditional,monthly,USA or Census Division,Middle Atlantic Division,DV_MA,2002,purchase-only,4,144.4,144.51
28,traditional,monthly,USA or Census Division,Middle Atlantic Division,DV_MA,2002,purchase-only,5,146.99,146.18
29,traditional,monthly,USA or Census Division,Middle Atlantic Division,DV_MA,2002,purchase-only,6,149.34,147.13
30,traditional,monthly,USA or Census Division,Middle Atlantic Division,DV_MA,2002,purchase-only,7,151.03,148.73
31,traditional,monthly,USA or Census Division,Middle Atlantic Division,DV_MA,2002,purchase-only,8,152.62,150.35
32,traditional,monthly,USA or Census Division,Middle Atlantic Division,DV_MA,2002,purchase-only,9,153.56,151.54
33,traditional,monthly,USA or Census Division,Middle Atlantic Division,DV_MA,2002,purchase-only,10,154.34,153.03
34,traditional,monthly,USA or Census Division,Middle Atlantic Division,DV_MA,2002,purchase-only,11,155.01,153.91
35,traditional,monthly,USA or Census Division,Middle Atlantic Division,DV_MA,2002,purchase-only,12,156.54,156.37
36,traditional,monthly,USA or Census Division,Mountain Division,DV_MT,2002,purchase-only,1,181.82,182.81
37,traditional,monthly,USA or Census Division,Mountain Division,DV_MT,2002,purchase-only,2,183.01,183.97
38,traditional,monthly,USA or Census Division,Mountain Division,DV_MT,2002,purchase-only,3,184.32,184.36
39,traditional,monthly,USA or Census Division,Mountain Division,DV_MT,2002,purchase-only,4,185.46,184.94
40,traditional,monthly,USA or Census Division,Mountain Division,DV_MT,2002,purchase-only,5,186.38,185.55
41,traditional,monthly,USA or Census Division,Mountain Division,DV_MT,2002,purchase-only,6,187.46,186.02
42,traditional,monthly,USA or Census Division,Mountain Division,DV_MT,2002,purchase-only,7,188.26,187.0
43,traditional,monthly,USA or Census Division,Mountain Division,DV_MT,2002,purchase-only,8,189.88,188.6
44,traditional,monthly,USA or Census Division,Mountain Division,DV_MT,2002,purchase-only,9,189.49,188.53
45,traditional,monthly,USA or Census Division,Mountain Division,DV_MT,2002,purchase-only,10,190.8,190.3
46,traditional,monthly,USA or Census Division,Mountain Division,DV_MT,2002,purchase-only,11,191.04,190.99
47,traditional,monthly,USA or Census Division,Mountain Division,DV_MT,2002,purchase-only,12,191.88,192.44
48,traditional,monthly,USA or Census Division,New England Division,DV_NE,2002,purchase-only,1,159.64,160.59
49,traditional,monthly,USA or Census Division,New England Division,DV_NE,2002,purchase-only,2,160.97,162.66
50,traditional,monthly,USA or Census Division,New England Division,DV_NE,2002,purchase-only,3,162.19,162.85
51,traditional,monthly,USA or Census Division,New England Division,DV_NE,2002,purchase-only,4,166.21,165.85
52,traditional,monthly,USA or Census Division,New England Division,DV_NE,2002,purchase-only,5,168.37,167.28
53,traditional,monthly,USA or Census Division,New England Division,DV_NE,2002,purchase-only,6,172.36,169.76
54,traditional,monthly,USA or Census Division,New England Division,DV_NE,2002,purchase-only,7,175.68,172.58
55,traditional,monthly,USA or Census Division,New England Division,DV_NE,2002,purchase-only,8,175.9,173.53
56,traditional,monthly,USA or Census Division,New England Division,DV_NE,2002,purchase-only,9,177.44,174.92
57,traditional,monthly,USA or Census Division,New England Division,DV_NE,2002,purchase-only,10,178.65,176.85
58,traditional,monthly,USA or Census Division,New England Division,DV_NE,2002,purchase-only,11,179.44,178.96
59,traditional,monthly,USA or Census Division,New England Division,DV_NE,2002,purchase-only,12,179.46,179.86
60,traditional,monthly,USA or Census Division,Pacific Division,DV_PAC,2002,purchase-only,1,147.15,147.96
61,traditional,monthly,USA or Census Division,Pacific Division,DV_PAC,2002,purchase-only,2,148.55,149.12
62,traditional,monthly,USA or Census Division,Pacific Division,DV_PAC,2002,purchase-only,3,150.97,150.92
63,traditional,monthly,USA or Census Division,Pacific Division,DV_PAC,2002,purchase-only,4,152.75,152.38
64,traditional,monthly,USA or Census Division,Pacific Division,DV_PAC,2002,purchase-only,5,155.86,154.61
65,traditional,monthly,USA or Census Division,Pacific Division,DV_PAC,2002,purchase-only,6,158.11,156.62
66,traditional,monthly,USA or Census Division,Pacific Division,DV_PAC,2002,purchase-only,7,160.24,158.67
67,traditional,monthly,USA or Census Division,Pacific Division,DV_PAC,2002,purchase-only,8,161.92,160.47
68,traditional,monthly,USA or Census Division,Pacific Division,DV_PAC,2002,purchase-only,9,162.91,161.71
69,traditional,monthly,USA or Census Division,Pacific Division,DV_PAC,2002,purchase-only,10,164.68,164.13
70,traditional,monthly,USA or Census Division,Pacific Division,DV_PAC,2002,purchase-only,11,165.22,165.19
71,traditional,monthly,USA or Census Division,Pacific Division,DV_PAC,2002,purchase-only,12,166.6,166.92
72,traditional,monthly,USA or Census Division,South Atlantic Division,DV_SA,2002,purchase-only,1,152.6,152.5
73,traditional,monthly,USA or Census Division,South Atlantic Division,DV_SA,2002,purchase-only,2,154.18,153.93
74,traditional,monthly,USA or Census Division,South Atlantic Division,DV_SA,2002,purchase-only,3,154.82,154.47
75,traditional,monthly,USA or Census Division,South Atlantic Division,DV_SA,2002,purchase-only,4,156.3,155.49
76,traditional,monthly,USA or Census Division,South Atlantic Division,DV_SA,2002,purchase-only,5,157.72,156.53
77,traditional,monthly,USA or Census Division,South Atlantic Division,DV_SA,2002,purchase-only,6,158.99,157.44
78,traditional,monthly,USA or Census Division,South Atlantic Division,DV_SA,2002,purchase-only,7,159.98,158.36
79,traditional,monthly,USA or Census Division,South Atlantic Division,DV_SA,2002,purchase-only,8,160.61,159.16
80,traditional,monthly,USA or Census Division,South Atlantic Division,DV_SA,2002,purchase-only,9,162.35,160.95
81,traditional,monthly,USA or Census Division,South Atlantic Division,DV_SA,2002,purchase-only,10,162.84,161.7
82,traditional,monthly,USA or Census Division,South Atlantic Division,DV_SA,2002,purchase-only,11,163.42,162.83
83,traditional,monthly,USA or Census Division,South Atlantic Division,DV_SA,2002,purchase-only,12,164.45,164.17
84,traditional,monthly,USA or Census Division,West North Central Division,DV_WNC,2002,purchase-only,1,169.51,170.05
85,traditional,monthly,USA or Census Division,West North Central Division,DV_WNC,2002,purchase-only,2,169.64,170.41
86,traditional,monthly,USA or Census Division,West North Central Division,DV_WNC,2002,purchase-only,3,171.95,171.51
87,traditional,monthly,USA or Census Division,West North Central Division,DV_WNC,2002,purchase-only,4,173.02,172.24
88,traditional,monthly,USA or Census Division,West North Central Division,DV_WNC,2002,purchase-only,5,174.74,172.9
89,traditional,monthly,USA or Census Division,West North Central Division,DV_WNC,2002,purchase-only,6,176.34,173.99
90,traditional,monthly,USA or Census Division,West North Central Division,DV_WNC,2002,purchase-only,7,177.05,174.45
91,traditional,monthly,USA or Census Division,West North Central Division,DV_WNC,2002,purchase-only,8,177.59,175.37
92,traditional,monthly,USA or Census Division,West North Central Division,DV_WNC,2002,purchase-only,9,178.01,176.21
93,traditional,monthly,USA or Census Division,West North Central Division,DV_WNC,2002,purchase-only,10,178.15,176.88
94,traditional,monthly,USA or Census Division,West North Central Division,DV_WNC,2002,purchase-only,11,178.54,177.7
95,traditional,monthly,USA or Census Division,West North Central Division,DV_WNC,2002,purchase-only,12,179.19,179.36
96,traditional,monthly,USA or Census Division,West South Central Division,DV_WSC,2002,purchase-only,1,150.29,150.77
97,traditional,monthly,USA or Census Division,West South Central Division,DV_WSC,2002,purchase-only,2,151.72,151.84
98,traditional,monthly,USA or Census Division,West South Central Division,DV_WSC,2002,purchase-only,3,153.12,152.62
99,traditional,monthly,USA or Census Division,West South Central Division,DV_WSC,2002,purchase-only,4,153.92,152.69
100,traditional,monthly,USA or Census Division,West South Central Division,DV_WSC,2002,purchase-only,5,154.66,153.24
101,traditional,monthly,USA or Census Division,West South Central Division,DV_WSC,2002,purchase-only,6,155.2,153.57
102,traditional,monthly,USA or Census Division,West South Central Division,DV_WSC,2002,purchase-only,7,155.45,153.86
103,traditional,monthly,USA or Census Division,West South Central Division,DV_WSC,2002,purchase-only,8,155.85,154.17
104,traditional,monthly,USA or Census Division,West South Central Division,DV_WSC,2002,purchase-only,9,156.11,154.94
105,traditional,monthly,USA or Census Division,West South Central Division,DV_WSC,2002,purchase-only,10,156.5,155.48
106,traditional,monthly,USA or Census Division,West South Central Division,DV_WSC,2002,purchase-only,11,156.31,155.83
107,traditional,monthly,USA or Census Division,West South Central Division,DV_WSC,2002,purchase-only,12,157.04,156.71
108,traditional,monthly,USA or Census Division,United States,USA,2002,purchase-only,1,155.47,155.77
109,traditional,monthly,USA or Census Division,United States,USA,2002,purchase-only,2,156.35,156.67
110,traditional,monthly,USA or Census Division,United States,USA,2002,purchase-only,3,157.89,157.68
111,traditional,monthly,USA or Census Division,United States,USA,2002,purchase-only,4,159.2,158.5
112,traditional,monthly,USA or Census Division,United States,USA,2002,purchase-only,5,160.93,159.58
113,traditional,monthly,USA or Census Division,United States,USA,2002,purchase-only,6,162.49,160.59
114,traditional,monthly,USA or Census Division,United States,USA,2002,purchase-only,7,163.57,161.6
115,traditional,monthly,USA or Census Division,United States,USA,2002,purchase-only,8,164.48,162.64
116,traditional,monthly,USA or Census Division,United States,USA,2002,purchase-only,9,165.19,163.63
117,traditional,monthly,USA or Census Division,United States,USA,2002,purchase-only,10,165.93,164.77
118,traditional,monthly,USA or Census Division,United States,USA,2002,purchase-only,11,166.31,165.72
119,traditional,monthly,USA or Census Division,United States,USA,2002,purchase-only,12,166.98,166.93
1980,traditional,quarterly,MSA,"Anaheim-Santa Ana-Irvine, CA (MSAD)",11244,2002,expanded-data,1,147.02,147.16
1981,traditional,quarterly,MSA,"Anaheim-Santa Ana-Irvine, CA (MSAD)",11244,2002,expanded-data,2,155.15,153.57
1982,traditional,quarterly,MSA,"Anaheim-Santa Ana-Irvine, CA (MSAD)",11244,2002,expanded-data,3,163.94,161.54
1983,traditional,quarterly,MSA,"Anaheim-Santa Ana-Irvine, CA (MSAD)",11244,2002,expanded-data,4,168.61,168.31
1984,traditional,quarterly,MSA,"Atlanta-Sandy Springs-Alpharetta, GA",12060,2002,expanded-data,1,161.6,161.3
1985,traditional,quarterly,MSA,"Atlanta-Sandy Springs-Alpharetta, GA",12060,2002,expanded-data,2,163.27,162.62
1986,traditional,quarterly,MSA,"Atlanta-Sandy Springs-Alpharetta, GA",12060,2002,expanded-data,3,164.95,164.04
1987,traditional,quarterly,MSA,"Atlanta-Sandy Springs-Alpharetta, GA",12060,2002,expanded-data,4,166.21,165.57
1988,traditional,quarterly,MSA,"Austin-Round Rock-Georgetown, TX",12420,2002,expanded-data,1,206.81,207.66
1989,traditional,quarterly,MSA,"Austin-Round Rock-Georgetown, TX",12420,2002,expanded-data,2,210.38,208.96
1990,traditional,quarterly,MSA,"Austin-Round Rock-Georgetown, TX",12420,2002,expanded-data,3,209.05,208.07
1991,traditional,quarterly,MSA,"Austin-Round Rock-Georgetown, TX",12420,2002,expanded-data,4,207.35,207.58
1992,traditional,quarterly,MSA,"Baltimore-Columbia-Towson, MD",12580,2002,expanded-data,1,127.04,128.04
1993,traditional,quarterly,MSA,"Baltimore-Columbia-Towson, MD",12580,2002,expanded-data,2,132.12,131.71
1994,traditional,quarterly,MSA,"Baltimore-Columbia-Towson, MD",12580,2002,expanded-data,3,138.92,136.54
1995,traditional,quarterly,MSA,"Baltimore-Columbia-Towson, MD",12580,2002,expanded-data,4,141.48,140.62
1996,traditional,quarterly,MSA,"Boston, MA (MSAD)",14454,2002,expanded-data,1,194.45,197.07
1997,traditional,quarterly,MSA,"Boston, MA (MSAD)",14454,2002,expanded-data,2,205.11,204.48
1998,traditional,quarterly,MSA,"Boston, MA (MSAD)",14454,2002,expanded-data,3,215.85,213.58
1999,traditional,quarterly,MSA,"Boston, MA (MSAD)",14454,2002,expanded-data,4,219.81,220.78
2000,traditional,quarterly,MSA,"Cambridge-Newton-Framingham, MA (MSAD)",15764,2002,expanded-data,1,193.06,195.58
2001,traditional,quarterly,MSA,"Cambridge-Newton-Framingham, MA (MSAD)",15764,2002,expanded-data,2,204.64,202.31
2002,traditional,quarterly,MSA,"Cambridge-Newton-Framingham, MA (MSAD)",15764,2002,expanded-data,3,211.43,208.1
2003,traditional,quarterly,MSA,"Cambridge-Newton-Framingham, MA (MSAD)",15764,2002,expanded-data,4,214.07,213.63
2004,traditional,quarterly,MSA,"Charlotte-Concord-Gastonia, NC-SC",16740,2002,expanded-data,1,153.25,153.48
2005,traditional,quarterly,MSA,"Charlotte-Concord-Gastonia, NC-SC",16740,2002,expanded-data,2,153.64,153.48
2006,traditional,quarterly,MSA,"Charlotte-Concord-Gastonia, NC-SC",16740,2002,expanded-data,3,155.28,154.43
2007,traditional,quarterly,MSA,"Charlotte-Concord-Gastonia, NC-SC",16740,2002,expanded-data,4,154.88,154.53
2008,traditional,quarterly,MSA,"Chicago-Naperville-Evanston, IL (MSAD)",16984,2002,expanded-data,1,164.33,164.84
2009,traditional,quarterly,MSA,"Chicago-Naperville-Evanston, IL (MSAD)",16984,2002,expanded-data,2,169.38,168.71
2010,traditional,quarterly,MSA,"Chicago-Naperville-Evanston, IL (MSAD)",16984,2002,expanded-data,3,173.16,172.06
2011,traditional,quarterly,MSA,"Chicago-Naperville-Evanston, IL (MSAD)",16984,2002,expanded-data,4,176.59,175.92
2012,traditional,quarterly,MSA,"Cincinnati, OH-KY-IN",17140,2002,expanded-data,1,154.71,155.53
