,hpi_type,hpi_flavor,frequency,level,place_name,place_id,yr,period,index_nsa,index_sa
0,traditional,monthly,USA or Census Division,East North Central Division,DV_ENC,2001,purchase-only,1,156.47,156.95
1,traditional,monthly,USA or Census Division,East North Central Division,DV_ENC,2001,purchase-only,2,157.52,157.63
2,traditional,monthly,USA or Census Division,East North Central Division,DV_ENC,2001,purchase-only,3,158.64,158.13
3,traditional,monthly,USA or Census Division,East North Central Division,DV_ENC,2001,purchase-only,4,159.87,158.91
4,traditional,monthly,USA or Census Division,East North Central Division,DV_ENC,2001,purchase-only,5,161.25,159.42
5,traditional,monthly,USA or Census Division,East North Central Division,DV_ENC,2001,purchase-only,6,162.06,159.9
6,traditional,monthly,USA or Census Division,East North Central Division,DV_ENC,2001,purchase-only,7,162.7,160.4
7,traditional,monthly,USA or Census Division,East North Central Division,DV_ENC,2001,purchase-only,8,162.98,160.9
8,traditional,monthly,USA or Census Division,East North Central Division,DV_ENC,2001,purchase-only,9,163.34,161.62
9,traditional,monthly,USA or Census Division,East North Central Division,DV_ENC,2001,purchase-only,10,164.05,162.67
10,traditional,monthly,USA or Census Division,East North Central Division,DV_ENC,2001,purchase-only,11,163.52,162.86
11,traditional,monthly,USA or Census Division,East North Central Division,DV_ENC,2001,purchase-only,12,163.42,163.42
12,traditional,monthly,USA or Census Division,East South Central Division,DV_ESC,2001,purchase-only,1,148.11,147.58
13,traditional,monthly,USA or Census Division,East South Central Division,DV_ESC,2001,purchase-only,2,148.34,148.25
14,traditional,monthly,USA or Census Division,East South Central Division,DV_ESC,2001,purchase-only,3,148.69,148.41
15,traditional,monthly,USA or Census Division,East South Central Division,DV_ESC,2001,purchase-only,4,149.3,148.74
16,traditional,monthly,USA or Census Division,East South Central Division,DV_ESC,2001,purchase-only,5,150.51,149.68
17,traditional,monthly,USA or Census Division,East South Central Division,DV_ESC,2001,purchase-only,6,150.95,149.48
18,traditional,monthly,USA or Census Division,East South Central Division,DV_ESC,2001,purchase-only,7,150.92,149.74
19,traditional,monthly,USA or Census Division,East South Central Division,DV_ESC,2001,purchase-only,8,151.32,150.14
20,traditional,monthly,USA or Census Division,East South Central Division,DV_ESC,2001,purchase-only,9,151.67,150.63
21,traditional,monthly,USA or Census Division,East South Central Division,DV_ESC,2001,purchase-only,10,152.72,151.84
22,traditional,monthly,USA or Census Division,East South Central Division,DV_ESC,2001,purchase-only,11,152.14,151.57
23,traditional,monthly,USA or Census Division,East South Central Division,DV_ESC,2001,purchase-only,12,152.06,151.85
24,traditional,monthly,USA or Census Division,Middle Atlantic Division,DV_MA,2001,purchase-only,1,128.11,127.92
25,traditional,monthly,USA or Census Division,Middle Atlantic Division,DV_MA,2001,purchase-only,2,128.54,129.27
26,traditional,monthly,USA or Census Division,Middle Atlantic Division,DV_MA,2001,purchase-only,3,129.8,130.07
27,traditional,monthly,USA or Census Division,Middle Atlantic Division,DV_MA,2001,purchase-only,4,130.71,130.78
28,traditional,monthly,USA or Census Division,Middle Atlantic Division,DV_MA,2001,purchase-only,5,132.47,131.73
29,traditional,monthly,USA or Census Division,Middle Atlantic Division,DV_MA,2001,purchase-only,6,135.16,133.06
30,traditional,monthly,USA or Census Division,Middle Atlantic Division,DV_MA,2001,purchase-only,7,136.06,133.96
31,traditional,monthly,USA or Census Division,Middle Atlantic Division,DV_MA,2001,purchase-only,8,137.58,135.52
32,traditional,monthly,USA or Census Division,Middle Atlantic Division,DV_MA,2001,purchase-only,9,138.19,136.41
33,traditional,monthly,USA or Census Division,Middle Atlantic Division,DV_MA,2001,purchase-only,10,138.4,137.25
34,traditional,monthly,USA or Census Division,Middle Atlantic Division,DV_MA,2001,purchase-only,11,139.54,138.61
35,traditional,monthly,USA or Census Division,Middle Atlantic Division,DV_MA,2001,purchase-only,12,139.34,139.15
36,traditional,monthly,USA or Census Division,Mountain Division,DV_MT,2001,purchase-only,1,173.75,174.67
37,traditional,monthly,USA or Census Division,Mountain Division,DV_MT,2001,purchase-only,2,174.98,175.81
38,traditional,monthly,USA or Census Division,Mountain Division,DV_MT,2001,purchase-only,3,176.14,176.09
39,traditional,monthly,USA or Census Division,Mountain Division,DV_MT,2001,purchase-only,4,177.11,176.6
40,traditional,monthly,USA or Census Division,Mountain Division,DV_MT,2001,purchase-only,5,178.81,177.99
41,traditional,monthly,USA or Census Division,Mountain Division,DV_MT,2001,purchase-only,6,179.79,178.49
42,traditional,monthly,USA or Census Division,Mountain Division,DV_MT,2001,purchase-only,7,179.73,178.67
43,traditional,monthly,USA or Census Division,Mountain Division,DV_MT,2001,purchase-only,8,180.43,179.31
44,traditional,monthly,USA or Census Division,Mountain Division,DV_MT,2001,purchase-only,9,180.04,179.23
45,traditional,monthly,USA or Census Division,Mountain Division,DV_MT,2001,purchase-only,10,180.61,180.19
46,traditional,monthly,USA or Census Division,Mountain Division,DV_MT,2001,purchase-only,11,181.5,181.44
47,traditional,monthly,USA or Census Division,Mountain Division,DV_MT,2001,purchase-only,12,181.29,181.8
48,traditional,monthly,USA or Census Division,New England Division,DV_NE,2001,purchase-only,1,142.5,143.24
49,traditional,monthly,USA or Census Division,New England Division,DV_NE,2001,purchase-only,2,143.64,145.1
50,traditional,monthly,USA or Census Division,New England Division,DV_NE,2001,purchase-only,3,145.65,146.39
51,traditional,monthly,USA or Census Division,New England Division,DV_NE,2001,purchase-only,4,147.66,147.47
52,traditional,monthly,USA or Census Division,New England Division,DV_NE,2001,purchase-only,5,150.46,149.62
53,traditional,monthly,USA or Census Division,New England Division,DV_NE,2001,purchase-only,6,152.91,150.56
54,traditional,monthly,USA or Census Division,New England Division,DV_NE,2001,purchase-only,7,154.78,152.06
55,traditional,monthly,USA or Census Division,New England Division,DV_NE,2001,purchase-only,8,156.38,154.24
56,traditional,monthly,USA or Census Division,New England Division,DV_NE,2001,purchase-only,9,157.01,154.91
57,traditional,monthly,USA or Census Division,New England Division,DV_NE,2001,purchase-only,10,157.5,155.95
58,traditional,monthly,USA or Census Division,New England Division,DV_NE,2001,purchase-only,11,157.44,156.96
59,traditional,monthly,USA or Census Division,New England Division,DV_NE,2001,purchase-only,12,158.9,159.14
60,traditional,monthly,USA or Census Division,Pacific Division,DV_PAC,2001,purchase-only,1,134.21,134.81
61,traditional,monthly,USA or Census Division,Pacific Division,DV_PAC,2001,purchase-only,2,135.88,136.4
62,traditional,monthly,USA or Census Division,Pacific Division,DV_PAC,2001,purchase-only,3,137.8,137.61
63,traditional,monthly,USA or Census Division,Pacific Division,DV_PAC,2001,purchase-only,4,139.02,138.61
64,traditional,monthly,USA or Census Division,Pacific Division,DV_PAC,2001,purchase-only,5,140.56,139.39
65,traditional,monthly,USA or Census Division,Pacific Division,DV_PAC,2001,purchase-only,6,141.5,140.15
66,traditional,monthly,USA or Census Division,Pacific Division,DV_PAC,2001,purchase-only,7,142.21,140.94
67,traditional,monthly,USA or Census Division,Pacific Division,DV_PAC,2001,purchase-only,8,143.16,141.97
68,traditional,monthly,USA or Census Division,Pacific Division,DV_PAC,2001,purchase-only,9,144.23,143.32
69,traditional,monthly,USA or Census Division,Pacific Division,DV_PAC,2001,purchase-only,10,144.52,144.07
70,traditional,monthly,USA or Census Division,Pacific Division,DV_PAC,2001,purchase-only,11,144.75,144.75
71,traditional,monthly,USA or Census Division,Pacific Division,DV_PAC,2001,purchase-only,12,146.22,146.51
72,traditional,monthly,USA or Census Division,South Atlantic Division,DV_SA,2001,purchase-only,1,142.52,142.33
