,year,qtr,state_fips,low,high
2448,2011,1,1,1.6,1.72
2449,2011,1,2,1.6,1.72
2451,2011,1,5,1.32,1.4
2454,2011,1,9,1.6,1.72
2455,2011,1,10,1.72,1.84
2456,2011,1,11,0.41,1.11
2458,2011,1,13,1.84,2.06
2461,2011,1,17,1.6,1.72
2462,2011,1,18,1.4,1.5
2463,2011,1,19,1.32,1.4
2464,2011,1,20,1.32,1.4
2465,2011,1,21,1.4,1.5
2466,2011,1,22,1.32,1.4
2467,2011,1,23,1.84,2.06
2469,2011,1,25,1.5,1.6
2470,2011,1,26,1.6,1.72
2471,2011,1,27,1.6,1.72
2472,2011,1,28,1.5,1.6
2473,2011,1,29,1.5,1.6
2474,2011,1,30,1.84,2.06
2475,2011,1,31,1.24,1.32
2477,2011,1,33,1.84,2.06
2478,2011,1,34,1.84,2.06
2479,2011,1,35,1.72,1.84
2480,2011,1,36,1.11,1.24
2481,2011,1,37,1.84,2.06
2482,2011,1,38,0.41,1.11
2483,2011,1,39,1.4,1.5
2484,2011,1,40,1.32,1.4
2486,2011,1,42,1.4,1.5
2487,2011,1,44,1.84,2.06
2488,2011,1,45,1.84,2.06
2489,2011,1,46,1.5,1.6
2490,2011,1,47,1.6,1.72
2491,2011,1,48,1.11,1.24
2492,2011,1,49,1.84,2.06
2493,2011,1,50,1.6,1.72
2496,2011,1,54,1.24,1.32
2497,2011,1,55,1.4,1.5
2498,2011,1,56,1.32,1.4
2499,2011,2,1,1.6,1.72
2500,2011,2,2,1.6,1.72
2502,2011,2,5,1.32,1.4
2505,2011,2,9,1.6,1.72
2506,2011,2,10,1.72,1.84
2507,2011,2,11,0.41,1.11
2509,2011,2,13,1.84,2.06
2512,2011,2,17,1.6,1.72
2513,2011,2,18,1.4,1.5
2514,2011,2,19,1.32,1.4
2515,2011,2,20,1.24,1.32
2516,2011,2,21,1.4,1.5
2517,2011,2,22,1.24,1.32
2518,2011,2,23,1.84,2.06
2520,2011,2,25,1.5,1.6
2521,2011,2,26,1.6,1.72
2522,2011,2,27,1.6,1.72
2523,2011,2,28,1.5,1.6
2524,2011,2,29,1.5,1.6
2525,2011,2,30,1.84,2.06
2526,2011,2,31,1.24,1.32
2528,2011,2,33,1.84,2.06
2529,2011,2,34,1.84,2.06
2530,2011,2,35,1.72,1.84
2531,2011,2,36,1.24,1.32
2532,2011,2,37,1.84,2.06
2533,2011,2,38,0.41,1.11
2534,2011,2,39,1.4,1.5
2535,2011,2,40,1.32,1.4
2537,2011,2,42,1.4,1.5
2538,2011,2,44,1.84,2.06
2539,2011,2,45,1.84,2.06
2540,2011,2,46,1.5,1.6
2541,2011,2,47,1.5,1.6
2542,2011,2,48,1.11,1.24
2543,2011,2,49,1.84,2.06
2544,2011,2,50,1.6,1.72
2547,2011,2,54,1.24,1.32
2548,2011,2,55,1.4,1.5
2549,2011,2,56,1.4,1.5
2550,2011,3,1,1.5,1.6
2551,2011,3,2,1.6,1.72
2553,2011,3,5,1.32,1.4
2556,2011,3,9,1.6,1.72
2557,2011,3,10,1.6,1.72
2558,2011,3,11,0.41,1.11
2560,2011,3,13,1.72,1.84
2563,2011,3,17,1.5,1.6
2564,2011,3,18,1.4,1.5
2565,2011,3,19,1.24,1.32
2566,2011,3,20,1.24,1.32
2567,2011,3,21,1.32,1.4
2568,2011,3,22,1.24,1.32
2569,2011,3,23,1.84,2.06
2571,2011,3,25,1.5,1.6
2572,2011,3,26,1.5,1.6
2573,2011,3,27,1.6,1.72
2574,2011,3,28,1.5,1.6
2575,2011,3,29,1.4,1.5
2576,2011,3,30,1.84,2.06
2577,2011,3,31,1.24,1.32
2579,2011,3,33,1.84,2.06
2580,2011,3,34,1.84,2.06
2581,2011,3,35,1.72,1.84
2582,2011,3,36,1.24,1.32
2583,2011,3,37,1.84,2.06
2584,2011,3,38,0.41,1.11
2585,2011,3,39,1.4,1.5
2586,2011,3,40,1.24,1.32
2588,2011,3,42,1.32,1.4
2589,2011,3,44,1.84,2.06
2590,2011,3,45,1.84,2.06
2591,2011,3,46,1.5,1.6
2592,2011,3,47,1.5,1.6
2593,2011,3,48,1.11,1.24
2594,2011,3,49,1.84,2.06
2595,2011,3,50,1.6,1.72
2598,2011,3,54,1.11,1.24
2599,2011,3,55,1.32,1.4
2600,2011,3,56,1.32,1.4
2601,2011,4,1,1.6,1.72
2602,2011,4,2,1.4,1.5
2604,2011,4,5,1.32,1.4
2607,2011,4,9,1.72,1.84
2608,2011,4,10,1.72,1.84
2609,2011,4,11,0.41,1.11
2611,2011,4,13,1.84,2.06
2614,2011,4,17,1.5,1.6
2615,2011,4,18,1.4,1.5
2616,2011,4,19,1.32,1.4
2617,2011,4,20,1.24,1.32
2618,2011,4,21,1.32,1.4
2619,2011,4,22,1.32,1.4
2620,2011,4,23,1.84,2.06
2622,2011,4,25,1.5,1.6
2623,2011,4,26,1.5,1.6
2624,2011,4,27,1.6,1.72
2625,2011,4,28,1.5,1.6
2626,2011,4,29,1.4,1.5
2627,2011,4,30,1.84,2.06
2628,2011,4,31,1.24,1.32
2630,2011,4,33,1.84,2.06
2631,2011,4,34,1.84,2.06
2632,2011,4,35,1.72,1.84
2633,2011,4,36,1.24,1.32
2634,2011,4,37,1.84,2.06
2635,2011,4,38,0.41,1.11
2636,2011,4,39,1.4,1.5
2637,2011,4,40,1.24,1.32
2639,2011,4,42,1.4,1.5
2640,2011,4,44,1.84,2.06
2641,2011,4,45,1.84,2.06
2642,2011,4,46,1.5,1.6
2643,2011,4,47,1.5,1.6
2644,2011,4,48,1.11,1.24
2645,2011,4,49,1.84,2.06
2646,2011,4,50,1.6,1.72
2649,2011,4,54,1.24,1.32
2650,2011,4,55,1.4,1.5
2651,2011,4,56,1.32,1.4
