,hpi_type,hpi_flavor,frequency,level,place_name,place_id,yr,period,index_nsa,index_sa
0,traditional,monthly,USA or Census Division,East North Central Division,DV_ENC,1992,purchase-only,1,103.86,103.88
1,traditional,monthly,USA or Census Division,East North Central Division,DV_ENC,1992,purchase-only,2,104.35,104.4
2,traditional,monthly,USA or Census Division,East North Central Division,DV_ENC,1992,purchase-only,3,105.53,105.15
3,traditional,monthly,USA or Census Division,East North Central Division,DV_ENC,1992,purchase-only,4,105.92,105.19
4,traditional,monthly,USA or Census Division,East North Central Division,DV_ENC,1992,purchase-only,5,106.55,105.56
5,traditional,monthly,USA or Census Division,East North Central Division,DV_ENC,1992,purchase-only,6,106.93,105.58
6,traditional,monthly,USA or Census Division,East North Central Division,DV_ENC,1992,purchase-only,7,107.14,105.98
7,traditional,monthly,USA or Census Division,East North Central Division,DV_ENC,1992,purchase-only,8,107.59,106.42
8,traditional,monthly,USA or Census Division,East North Central Division,DV_ENC,1992,purchase-only,9,107.58,106.7
9,traditional,monthly,USA or Census Division,East North Central Division,DV_ENC,1992,purchase-only,10,108.18,107.38
10,traditional,monthly,USA or Census Division,East North Central Division,DV_ENC,1992,purchase-only,11,108.42,107.77
11,traditional,monthly,USA or Census Division,East North Central Division,DV_ENC,1992,purchase-only,12,108.75,108.41
12,traditional,monthly,USA or Census Division,East South Central Division,DV_ESC,1992,purchase-only,1,103.31,103.33
13,traditional,monthly,USA or Census Division,East South Central Division,DV_ESC,1992,purchase-only,2,104.47,104.09
14,traditional,monthly,USA or Census Division,East South Central Division,DV_ESC,1992,purchase-only,3,104.26,103.81
15,traditional,monthly,USA or Census Division,East South Central Division,DV_ESC,1992,purchase-only,4,103.73,103.35
16,traditional,monthly,USA or Census Division,East South Central Division,DV_ESC,1992,purchase-only,5,104.46,104.06
17,traditional,monthly,USA or Census Division,East South Central Division,DV_ESC,1992,purchase-only,6,104.72,104.13
18,traditional,monthly,USA or Census Division,East South Central Division,DV_ESC,1992,purchase-only,7,105.23,104.73
19,traditional,monthly,USA or Census Division,East South Central Division,DV_ESC,1992,purchase-only,8,106.28,105.38
20,traditional,monthly,USA or Census Division,East South Central Division,DV_ESC,1992,purchase-only,9,106.65,105.83
21,traditional,monthly,USA or Census Division,East South Central Division,DV_ESC,1992,purchase-only,10,106.92,106.54
22,traditional,monthly,USA or Census Division,East South Central Division,DV_ESC,1992,purchase-only,11,106.86,106.26
23,traditional,monthly,USA or Census Division,East South Central Division,DV_ESC,1992,purchase-only,12,106.94,106.8
24,traditional,monthly,USA or Census Division,Middle Atlantic Division,DV_MA,1992,purchase-only,1,100.83,100.86
25,traditional,monthly,USA or Census Division,Middle Atlantic Division,DV_MA,1992,purchase-only,2,101.88,102.18
26,traditional,monthly,USA or Census Division,Middle Atlantic Division,DV_MA,1992,purchase-only,3,101.5,101.27
27,traditional,monthly,USA or Census Division,Middle Atlantic Division,DV_MA,1992,purchase-only,4,101.24,100.94
28,traditional,monthly,USA or Census Division,Middle Atlantic Division,DV_MA,1992,purchase-only,5,100.93,100.42
29,traditional,monthly,USA or Census Division,Middle Atlantic Division,DV_MA,1992,purchase-only,6,101.34,100.39
30,traditional,monthly,USA or Census Division,Middle Atlantic Division,DV_MA,1992,purchase-only,7,101.55,100.41
31,traditional,monthly,USA or Census Division,Middle Atlantic Division,DV_MA,1992,purchase-only,8,101.53,100.45
32,traditional,monthly,USA or Census Division,Middle Atlantic Division,DV_MA,1992,purchase-only,9,102.25,101.32
33,traditional,monthly,USA or Census Division,Middle Atlantic Division,DV_MA,1992,purchase-only,10,102.54,101.48
34,traditional,monthly,USA or Census Division,Middle Atlantic Division,DV_MA,1992,purchase-only,11,103.1,102.28
35,traditional,monthly,USA or Census Division,Middle Atlantic Division,DV_MA,1992,purchase-only,12,101.67,101.37
36,traditional,monthly,USA or Census Division,Mountain Division,DV_MT,1992,purchase-only,1,104.4,104.47
37,traditional,monthly,USA or Census Division,Mountain Division,DV_MT,1992,purchase-only,2,105.1,105.5
38,traditional,monthly,USA or Census Division,Mountain Division,DV_MT,1992,purchase-only,3,105.55,105.99
39,traditional,monthly,USA or Census Division,Mountain Division,DV_MT,1992,purchase-only,4,105.87,105.95
40,traditional,monthly,USA or Census Division,Mountain Division,DV_MT,1992,purchase-only,5,106.58,106.37
41,traditional,monthly,USA or Census Division,Mountain Division,DV_MT,1992,purchase-only,6,107.55,107.02
42,traditional,monthly,USA or Census Division,Mountain Division,DV_MT,1992,purchase-only,7,107.49,107.3
43,traditional,monthly,USA or Census Division,Mountain Division,DV_MT,1992,purchase-only,8,108.59,108.02
44,traditional,monthly,USA or Census Division,Mountain Division,DV_MT,1992,purchase-only,9,108.72,108.47
45,traditional,monthly,USA or Census Division,Mountain Division,DV_MT,1992,purchase-only,10,110.04,109.56
46,traditional,monthly,USA or Census Division,Mountain Division,DV_MT,1992,purchase-only,11,110.39,110.18
47,traditional,monthly,USA or Census Division,Mountain Division,DV_MT,1992,purchase-only,12,111.29,111.25
48,traditional,monthly,USA or Census Division,New England Division,DV_NE,1992,purchase-only,1,99.74,99.76
49,traditional,monthly,USA or Census Division,New England Division,DV_NE,1992,purchase-only,2,99.72,100.29
50,traditional,monthly,USA or Census Division,New England Division,DV_NE,1992,purchase-only,3,99.66,99.46
51,traditional,monthly,USA or Census Division,New England Division,DV_NE,1992,purchase-only,4,98.44,98.44
52,traditional,monthly,USA or Census Division,New England Division,DV_NE,1992,purchase-only,5,97.47,97.47
53,traditional,monthly,USA or Census Division,New England Division,DV_NE,1992,purchase-only,6,96.92,96.32
54,traditional,monthly,USA or Census Division,New England Division,DV_NE,1992,purchase-only,7,97.11,96.61
55,traditional,monthly,USA or Census Division,New England Division,DV_NE,1992,purchase-only,8,98.16,97.53
