,year,qtr,state_fips,low,high
204,2000,1,1,0.41,1.11
205,2000,1,2,1.24,1.32
206,2000,1,4,1.32,1.4
207,2000,1,5,0.41,1.11
208,2000,1,6,1.4,1.5
209,2000,1,8,1.32,1.4
210,2000,1,9,0.41,1.11
211,2000,1,10,0.41,1.11
212,2000,1,11,0.41,1.11
213,2000,1,12,1.4,1.5
214,2000,1,13,1.24,1.32
215,2000,1,15,1.72,1.84
216,2000,1,16,1.4,1.5
217,2000,1,17,0.41,1.11
218,2000,1,18,0.41,1.11
219,2000,1,19,0.41,1.11
220,2000,1,20,0.41,1.11
221,2000,1,21,0.41,1.11
222,2000,1,22,0.41,1.11
223,2000,1,23,1.11,1.24
224,2000,1,24,1.6,1.72
225,2000,1,25,0.41,1.11
226,2000,1,26,0.41,1.11
227,2000,1,27,0.41,1.11
228,2000,1,28,1.11,1.24
229,2000,1,29,0.41,1.11
230,2000,1,30,1.32,1.4
231,2000,1,31,0.41,1.11
232,2000,1,32,1.4,1.5
233,2000,1,33,1.11,1.24
234,2000,1,34,0.41,1.11
235,2000,1,35,1.4,1.5
236,2000,1,36,0.41,1.11
237,2000,1,37,1.24,1.32
238,2000,1,38,0.41,1.11
239,2000,1,39,0.41,1.11
240,2000,1,40,0.41,1.11
241,2000,1,41,1.4,1.5
242,2000,1,42,0.41,1.11
243,2000,1,44,1.11,1.24
244,2000,1,45,1.24,1.32
245,2000,1,46,0.41,1.11
246,2000,1,47,1.11,1.24
247,2000,1,48,0.41,1.11
248,2000,1,49,1.32,1.4
249,2000,1,50,1.11,1.24
250,2000,1,51,1.32,1.4
251,2000,1,53,1.32,1.4
252,2000,1,54,0.41,1.11
253,2000,1,55,0.41,1.11
254,2000,1,56,0.41,1.11
255,2000,2,1,1.11,1.24
256,2000,2,2,1.24,1.32
257,2000,2,4,1.4,1.5
258,2000,2,5,0.41,1.11
259,2000,2,6,1.5,1.6
260,2000,2,8,1.32,1.4
261,2000,2,9,0.41,1.11
262,2000,2,10,0.41,1.11
263,2000,2,11,0.41,1.11
264,2000,2,12,1.5,1.6
265,2000,2,13,1.24,1.32
266,2000,2,15,1.84,2.06
267,2000,2,16,1.4,1.5
268,2000,2,17,0.41,1.11
269,2000,2,18,0.41,1.11
270,2000,2,19,0.41,1.11
271,2000,2,20,0.41,1.11
272,2000,2,21,0.41,1.11
273,2000,2,22,0.41,1.11
274,2000,2,23,1.11,1.24
275,2000,2,24,1.6,1.72
276,2000,2,25,0.41,1.11
277,2000,2,26,0.41,1.11
278,2000,2,27,0.41,1.11
279,2000,2,28,1.11,1.24
280,2000,2,29,0.41,1.11
281,2000,2,30,1.4,1.5
282,2000,2,31,0.41,1.11
283,2000,2,32,1.4,1.5
284,2000,2,33,1.11,1.24
285,2000,2,34,0.41,1.11
286,2000,2,35,1.4,1.5
287,2000,2,36,0.41,1.11
288,2000,2,37,1.24,1.32
289,2000,2,38,0.41,1.11
290,2000,2,39,1.11,1.24
291,2000,2,40,0.41,1.11
292,2000,2,41,1.4,1.5
293,2000,2,42,0.41,1.11
294,2000,2,44,1.11,1.24
295,2000,2,45,1.32,1.4
296,2000,2,46,0.41,1.11
297,2000,2,47,1.11,1.24
298,2000,2,48,0.41,1.11
299,2000,2,49,1.4,1.5
300,2000,2,50,1.11,1.24
301,2000,2,51,1.4,1.5
302,2000,2,53,1.4,1.5
303,2000,2,54,0.41,1.11
304,2000,2,55,0.41,1.11
305,2000,2,56,1.11,1.24
306,2000,3,1,1.11,1.24
307,2000,3,2,1.32,1.4
308,2000,3,4,1.4,1.5
309,2000,3,5,0.41,1.11
310,2000,3,6,1.5,1.6
311,2000,3,8,1.32,1.4
312,2000,3,9,0.41,1.11
313,2000,3,10,1.11,1.24
314,2000,3,11,0.41,1.11
315,2000,3,12,1.5,1.6
316,2000,3,13,1.24,1.32
317,2000,3,15,1.84,2.06
318,2000,3,16,1.5,1.6
319,2000,3,17,0.41,1.11
320,2000,3,18,1.11,1.24
321,2000,3,19,0.41,1.11
322,2000,3,20,0.41,1.11
323,2000,3,21,1.11,1.24
324,2000,3,22,0.41,1.11
325,2000,3,23,1.11,1.24
326,2000,3,24,1.6,1.72
327,2000,3,25,0.41,1.11
328,2000,3,26,1.11,1.24
329,2000,3,27,0.41,1.11
330,2000,3,28,1.11,1.24
331,2000,3,29,0.41,1.11
332,2000,3,30,1.4,1.5
333,2000,3,31,0.41,1.11
334,2000,3,32,1.4,1.5
335,2000,3,33,1.11,1.24
336,2000,3,34,0.41,1.11
337,2000,3,35,1.4,1.5
338,2000,3,36,0.41,1.11
339,2000,3,37,1.24,1.32
340,2000,3,38,0.41,1.11
341,2000,3,39,1.11,1.24
342,2000,3,40,0.41,1.11
343,2000,3,41,1.4,1.5
344,2000,3,42,0.41,1.11
345,2000,3,44,1.24,1.32
346,2000,3,45,1.32,1.4
347,2000,3,46,0.41,1.11
348,2000,3,47,1.11,1.24
349,2000,3,48,0.41,1.11
350,2000,3,49,1.4,1.5
351,2000,3,50,1.11,1.24
352,2000,3,51,1.4,1.5
353,2000,3,53,1.6,1.72
354,2000,3,54,1.11,1.24
355,2000,3,55,0.41,1.11
356,2000,3,56,1.11,1.24
357,2000,4,1,1.24,1.32
358,2000,4,2,1.32,1.4
359,2000,4,4,1.4,1.5
360,2000,4,5,0.41,1.11
361,2000,4,6,1.5,1.6
362,2000,4,8,1.4,1.5
363,2000,4,9,0.41,1.11
364,2000,4,10,0.41,1.11
365,2000,4,11,0.41,1.11
366,2000,4,12,1.5,1.6
367,2000,4,13,1.24,1.32
368,2000,4,15,1.84,2.06
369,2000,4,16,1.5,1.6
370,2000,4,17,0.41,1.11
371,2000,4,18,1.11,1.24
372,2000,4,19,0.41,1.11
373,2000,4,20,0.41,1.11
