,year,qtr,state_fips,low,high
2652,2012,1,1,1.5,1.6
2653,2012,1,2,1.5,1.6
2654,2012,1,4,1.84,2.06
2655,2012,1,5,1.24,1.32
2657,2012,1,8,1.84,2.06
2658,2012,1,9,1.5,1.6
2659,2012,1,10,1.6,1.72
2660,2012,1,11,0.41,1.11
2662,2012,1,13,1.6,1.72
2665,2012,1,17,1.4,1.5
2666,2012,1,18,1.32,1.4
2667,2012,1,19,1.24,1.32
2668,2012,1,20,1.11,1.24
2669,2012,1,21,1.24,1.32
2670,2012,1,22,1.24,1.32
2671,2012,1,23,1.72,1.84
2673,2012,1,25,1.4,1.5
2674,2012,1,26,1.4,1.5
2675,2012,1,27,1.4,1.5
2676,2012,1,28,1.4,1.5
2677,2012,1,29,1.32,1.4
2678,2012,1,30,1.72,1.84
2679,2012,1,31,1.11,1.24
2680,2012,1,32,1.84,2.06
2681,2012,1,33,1.72,1.84
2682,2012,1,34,1.72,1.84
2683,2012,1,35,1.6,1.72
2684,2012,1,36,1.11,1.24
2685,2012,1,37,1.72,1.84
2686,2012,1,38,0.41,1.11
2687,2012,1,39,1.32,1.4
2688,2012,1,40,1.11,1.24
2689,2012,1,41,1.84,2.06
2690,2012,1,42,1.32,1.4
2691,2012,1,44,1.72,1.84
2692,2012,1,45,1.84,2.06
2693,2012,1,46,1.4,1.5
2694,2012,1,47,1.4,1.5
2695,2012,1,48,0.41,1.11
2696,2012,1,49,1.72,1.84
2697,2012,1,50,1.5,1.6
2698,2012,1,51,1.84,2.06
2700,2012,1,54,1.11,1.24
2701,2012,1,55,1.24,1.32
2702,2012,1,56,1.24,1.32
2703,2012,2,1,1.5,1.6
2704,2012,2,2,1.5,1.6
2705,2012,2,4,1.84,2.06
2706,2012,2,5,1.32,1.4
2708,2012,2,8,1.84,2.06
2709,2012,2,9,1.6,1.72
2710,2012,2,10,1.6,1.72
2711,2012,2,11,0.41,1.11
2713,2012,2,13,1.72,1.84
2716,2012,2,17,1.4,1.5
2717,2012,2,18,1.32,1.4
2718,2012,2,19,1.24,1.32
2719,2012,2,20,1.24,1.32
2720,2012,2,21,1.32,1.4
2721,2012,2,22,1.24,1.32
2722,2012,2,23,1.72,1.84
2724,2012,2,25,1.4,1.5
2725,2012,2,26,1.4,1.5
2726,2012,2,27,1.5,1.6
2727,2012,2,28,1.4,1.5
2728,2012,2,29,1.4,1.5
2729,2012,2,30,1.72,1.84
2730,2012,2,31,1.24,1.32
2731,2012,2,32,1.84,2.06
2732,2012,2,33,1.72,1.84
2733,2012,2,34,1.84,2.06
2734,2012,2,35,1.72,1.84
2735,2012,2,36,1.11,1.24
2736,2012,2,37,1.72,1.84
2737,2012,2,38,0.41,1.11
2738,2012,2,39,1.32,1.4
2739,2012,2,40,1.24,1.32
2740,2012,2,41,1.84,2.06
2741,2012,2,42,1.32,1.4
2742,2012,2,44,1.72,1.84
2743,2012,2,45,1.84,2.06
2744,2012,2,46,1.4,1.5
2745,2012,2,47,1.4,1.5
2746,2012,2,48,1.11,1.24
2747,2012,2,49,1.84,2.06
2748,2012,2,50,1.5,1.6
2751,2012,2,54,1.11,1.24
2752,2012,2,55,1.32,1.4
2753,2012,2,56,1.32,1.4
