,year,qtr,state_fips,low,high
3264,2015,1,1,1.4,1.5
3265,2015,1,2,1.5,1.6
3266,2015,1,4,1.72,1.84
3267,2015,1,5,1.24,1.32
3268,2015,1,6,1.84,2.06
3269,2015,1,8,1.6,1.72
3270,2015,1,9,1.4,1.5
3271,2015,1,10,1.5,1.6
3272,2015,1,11,0.41,1.11
3273,2015,1,12,1.72,1.84
3274,2015,1,13,1.4,1.5
3276,2015,1,16,1.84,2.06
3277,2015,1,17,1.24,1.32
3278,2015,1,18,1.24,1.32
3279,2015,1,19,1.11,1.24
3280,2015,1,20,1.11,1.24
3281,2015,1,21,1.11,1.24
3282,2015,1,22,1.11,1.24
3283,2015,1,23,1.6,1.72
3285,2015,1,25,1.24,1.32
3286,2015,1,26,1.24,1.32
3287,2015,1,27,1.32,1.4
3288,2015,1,28,1.4,1.5
3289,2015,1,29,1.24,1.32
3290,2015,1,30,1.6,1.72
3291,2015,1,31,1.11,1.24
3292,2015,1,32,1.6,1.72
3293,2015,1,33,1.6,1.72
3294,2015,1,34,1.6,1.72
3295,2015,1,35,1.6,1.72
3296,2015,1,36,0.41,1.11
3297,2015,1,37,1.5,1.6
3298,2015,1,38,0.41,1.11
3299,2015,1,39,1.11,1.24
3300,2015,1,40,1.11,1.24
3301,2015,1,41,1.6,1.72
3302,2015,1,42,1.24,1.32
3303,2015,1,44,1.5,1.6
3304,2015,1,45,1.72,1.84
3305,2015,1,46,1.24,1.32
3306,2015,1,47,1.32,1.4
3307,2015,1,48,0.41,1.11
3308,2015,1,49,1.6,1.72
3309,2015,1,50,1.4,1.5
3310,2015,1,51,1.84,2.06
3311,2015,1,53,1.72,1.84
3312,2015,1,54,1.11,1.24
3313,2015,1,55,1.11,1.24
3314,2015,1,56,1.24,1.32
3315,2015,2,1,1.4,1.5
3316,2015,2,2,1.5,1.6
3317,2015,2,4,1.72,1.84
3318,2015,2,5,1.24,1.32
3319,2015,2,6,1.84,2.06
3320,2015,2,8,1.72,1.84
3321,2015,2,9,1.4,1.5
3322,2015,2,10,1.5,1.6
3323,2015,2,11,0.41,1.11
3324,2015,2,12,1.72,1.84
3325,2015,2,13,1.5,1.6
3327,2015,2,16,1.84,2.06
3328,2015,2,17,1.24,1.32
3329,2015,2,18,1.24,1.32
3330,2015,2,19,1.11,1.24
3331,2015,2,20,1.11,1.24
3332,2015,2,21,1.24,1.32
3333,2015,2,22,1.24,1.32
3334,2015,2,23,1.72,1.84
3336,2015,2,25,1.32,1.4
3337,2015,2,26,1.24,1.32
3338,2015,2,27,1.32,1.4
3339,2015,2,28,1.4,1.5
3340,2015,2,29,1.24,1.32
3341,2015,2,30,1.72,1.84
3342,2015,2,31,1.11,1.24
3343,2015,2,32,1.6,1.72
3344,2015,2,33,1.6,1.72
3345,2015,2,34,1.6,1.72
3346,2015,2,35,1.6,1.72
3347,2015,2,36,0.41,1.11
3348,2015,2,37,1.6,1.72
3349,2015,2,38,0.41,1.11
3350,2015,2,39,1.11,1.24
3351,2015,2,40,1.24,1.32
3352,2015,2,41,1.72,1.84
3353,2015,2,42,1.24,1.32
3354,2015,2,44,1.6,1.72
3355,2015,2,45,1.72,1.84
3356,2015,2,46,1.24,1.32
3357,2015,2,47,1.32,1.4
3358,2015,2,48,0.41,1.11
3359,2015,2,49,1.6,1.72
3360,2015,2,50,1.4,1.5
3361,2015,2,51,1.84,2.06
3362,2015,2,53,1.84,2.06
3363,2015,2,54,1.24,1.32
3364,2015,2,55,1.11,1.24
3365,2015,2,56,1.4,1.5
3366,2015,3,1,1.4,1.5
3367,2015,3,2,1.6,1.72
3368,2015,3,4,1.84,2.06
3369,2015,3,5,1.32,1.4
3370,2015,3,6,1.84,2.06
3371,2015,3,8,1.84,2.06
3372,2015,3,9,1.5,1.6
3373,2015,3,10,1.6,1.72
3374,2015,3,11,0.41,1.11
3375,2015,3,12,1.72,1.84
3376,2015,3,13,1.5,1.6
3378,2015,3,16,1.84,2.06
3379,2015,3,17,1.32,1.4
3380,2015,3,18,1.24,1.32
3381,2015,3,19,1.11,1.24
3382,2015,3,20,1.11,1.24
3383,2015,3,21,1.24,1.32
3384,2015,3,22,1.24,1.32
3385,2015,3,23,1.72,1.84
3387,2015,3,25,1.32,1.4
3388,2015,3,26,1.24,1.32
3389,2015,3,27,1.4,1.5
3390,2015,3,28,1.4,1.5
3391,2015,3,29,1.32,1.4
3392,2015,3,30,1.72,1.84
3393,2015,3,31,1.11,1.24
3394,2015,3,32,1.72,1.84
3395,2015,3,33,1.6,1.72
3396,2015,3,34,1.6,1.72
3397,2015,3,35,1.6,1.72
3398,2015,3,36,0.41,1.11
3399,2015,3,37,1.6,1.72
3400,2015,3,38,0.41,1.11
3401,2015,3,39,1.24,1.32
3402,2015,3,40,1.24,1.32
3403,2015,3,41,1.72,1.84
3404,2015,3,42,1.32,1.4
3405,2015,3,44,1.6,1.72
3406,2015,3,45,1.72,1.84
3407,2015,3,46,1.32,1.4
3408,2015,3,47,1.4,1.5
3409,2015,3,48,1.11,1.24
3410,2015,3,49,1.72,1.84
3411,2015,3,50,1.5,1.6
3412,2015,3,51,1.84,2.06
3413,2015,3,53,1.72,1.84
3414,2015,3,54,1.24,1.32
3415,2015,3,55,1.24,1.32
3416,2015,3,56,1.4,1.5
3417,2015,4,1,1.4,1.5
3418,2015,4,2,1.6,1.72
3419,2015,4,4,1.72,1.84
3420,2015,4,5,1.24,1.32
3421,2015,4,6,1.72,1.84
3422,2015,4,8,1.72,1.84
3423,2015,4,9,1.4,1.5
3424,2015,4,10,1.5,1.6
3425,2015,4,11,0.41,1.11
3426,2015,4,12,1.6,1.72
3427,2015,4,13,1.4,1.5
3429,2015,4,16,1.84,2.06
3430,2015,4,17,1.24,1.32
3431,2015,4,18,1.24,1.32
3432,2015,4,19,1.11,1.24
3433,2015,4,20,1.11,1.24
3434,2015,4,21,1.11,1.24
3435,2015,4,22,1.24,1.32
3436,2015,4,23,1.6,1.72
3437,2015,4,24,1.84,2.06
3438,2015,4,25,1.24,1.32
3439,2015,4,26,1.24,1.32
3440,2015,4,27,1.32,1.4
3441,2015,4,28,1.4,1.5
3442,2015,4,29,1.24,1.32
3443,2015,4,30,1.72,1.84
3444,2015,4,31,1.11,1.24
3445,2015,4,32,1.6,1.72
3446,2015,4,33,1.5,1.6
3447,2015,4,34,1.5,1.6
3448,2015,4,35,1.6,1.72
3449,2015,4,36,0.41,1.11
3450,2015,4,37,1.5,1.6
3451,2015,4,38,0.41,1.11
3452,2015,4,39,1.11,1.24
3453,2015,4,40,1.11,1.24
3454,2015,4,41,1.6,1.72
3455,2015,4,42,1.24,1.32
3456,2015,4,44,1.5,1.6
3457,2015,4,45,1.6,1.72
3458,2015,4,46,1.24,1.32
3459,2015,4,47,1.32,1.4
3460,2015,4,48,1.11,1.24
3461,2015,4,49,1.6,1.72
3462,2015,4,50,1.4,1.5
3463,2015,4,51,1.84,2.06
3464,2015,4,53,1.72,1.84
3465,2015,4,54,1.24,1.32
3466,2015,4,55,1.11,1.24
3467,2015,4,56,1.4,1.5
