,year,qtr,state_fips,low,high
1836,2008,1,1,1.6,1.72
1837,2008,1,2,1.72,1.84
1839,2008,1,5,1.4,1.5
1842,2008,1,9,1.6,1.72
1843,2008,1,10,1.6,1.72
1844,2008,1,11,0.41,1.11
1849,2008,1,17,1.6,1.72
1850,2008,1,18,1.5,1.6
1851,2008,1,19,1.24,1.32
1852,2008,1,20,1.32,1.4
1853,2008,1,21,1.4,1.5
1854,2008,1,22,1.32,1.4
1855,2008,1,23,1.84,2.06
1857,2008,1,25,1.6,1.72
1858,2008,1,26,1.72,1.84
1859,2008,1,27,1.72,1.84
1860,2008,1,28,1.5,1.6
1861,2008,1,29,1.5,1.6
1862,2008,1,30,1.84,2.06
1863,2008,1,31,1.32,1.4
1865,2008,1,33,1.84,2.06
1866,2008,1,34,1.84,2.06
1867,2008,1,35,1.72,1.84
1868,2008,1,36,1.11,1.24
1869,2008,1,37,1.84,2.06
1870,2008,1,38,0.41,1.11
1871,2008,1,39,1.5,1.6
1872,2008,1,40,1.32,1.4
1874,2008,1,42,1.4,1.5
1875,2008,1,44,1.84,2.06
1877,2008,1,46,1.4,1.5
1878,2008,1,47,1.6,1.72
1879,2008,1,48,1.24,1.32
1881,2008,1,50,1.6,1.72
1884,2008,1,54,1.32,1.4
1885,2008,1,55,1.4,1.5
1886,2008,1,56,1.32,1.4
1887,2008,2,1,1.6,1.72
1888,2008,2,2,1.72,1.84
1890,2008,2,5,1.5,1.6
1893,2008,2,9,1.72,1.84
1894,2008,2,10,1.72,1.84
1895,2008,2,11,0.41,1.11
1900,2008,2,17,1.72,1.84
1901,2008,2,18,1.6,1.72
1902,2008,2,19,1.32,1.4
1903,2008,2,20,1.32,1.4
1904,2008,2,21,1.4,1.5
1905,2008,2,22,1.4,1.5
1906,2008,2,23,1.84,2.06
1908,2008,2,25,1.6,1.72
1909,2008,2,26,1.72,1.84
1910,2008,2,27,1.72,1.84
1911,2008,2,28,1.5,1.6
1912,2008,2,29,1.5,1.6
1914,2008,2,31,1.32,1.4
1917,2008,2,34,1.84,2.06
1918,2008,2,35,1.84,2.06
1919,2008,2,36,1.32,1.4
1920,2008,2,37,1.84,2.06
1921,2008,2,38,0.41,1.11
1922,2008,2,39,1.5,1.6
1923,2008,2,40,1.32,1.4
1925,2008,2,42,1.4,1.5
1928,2008,2,46,1.5,1.6
1929,2008,2,47,1.6,1.72
1930,2008,2,48,1.24,1.32
1932,2008,2,50,1.6,1.72
1935,2008,2,54,1.32,1.4
1936,2008,2,55,1.4,1.5
1937,2008,2,56,1.32,1.4
1938,2008,3,1,1.6,1.72
1939,2008,3,2,1.84,2.06
1941,2008,3,5,1.5,1.6
1944,2008,3,9,1.72,1.84
1945,2008,3,10,1.72,1.84
1946,2008,3,11,0.41,1.11
1951,2008,3,17,1.72,1.84
1952,2008,3,18,1.6,1.72
1953,2008,3,19,1.32,1.4
1954,2008,3,20,1.4,1.5
1955,2008,3,21,1.5,1.6
1956,2008,3,22,1.4,1.5
1957,2008,3,23,1.84,2.06
1959,2008,3,25,1.72,1.84
1960,2008,3,26,1.84,2.06
1961,2008,3,27,1.72,1.84
1962,2008,3,28,1.6,1.72
1963,2008,3,29,1.6,1.72
1965,2008,3,31,1.32,1.4
1969,2008,3,35,1.84,2.06
1970,2008,3,36,1.32,1.4
1971,2008,3,37,1.84,2.06
1972,2008,3,38,0.41,1.11
1973,2008,3,39,1.6,1.72
1974,2008,3,40,1.4,1.5
1976,2008,3,42,1.5,1.6
1979,2008,3,46,1.6,1.72
1980,2008,3,47,1.6,1.72
1981,2008,3,48,1.32,1.4
1983,2008,3,50,1.72,1.84
1986,2008,3,54,1.32,1.4
1987,2008,3,55,1.5,1.6
1988,2008,3,56,1.4,1.5
1989,2008,4,1,1.6,1.72
1990,2008,4,2,1.72,1.84
1992,2008,4,5,1.4,1.5
1995,2008,4,9,1.72,1.84
1996,2008,4,10,1.84,2.06
1997,2008,4,11,0.41,1.11
2002,2008,4,17,1.72,1.84
2003,2008,4,18,1.6,1.72
2004,2008,4,19,1.32,1.4
2005,2008,4,20,1.32,1.4
2006,2008,4,21,1.5,1.6
2007,2008,4,22,1.32,1.4
2008,2008,4,23,1.84,2.06
2010,2008,4,25,1.6,1.72
2011,2008,4,26,1.84,2.06
2012,2008,4,27,1.72,1.84
2013,2008,4,28,1.6,1.72
2014,2008,4,29,1.5,1.6
2016,2008,4,31,1.32,1.4
2019,2008,4,34,1.84,2.06
2020,2008,4,35,1.84,2.06
2021,2008,4,36,1.32,1.4
2022,2008,4,37,1.84,2.06
2023,2008,4,38,0.41,1.11
2024,2008,4,39,1.6,1.72
2025,2008,4,40,1.32,1.4
2027,2008,4,42,1.5,1.6
2030,2008,4,46,1.5,1.6
2031,2008,4,47,1.6,1.72
2032,2008,4,48,1.24,1.32
2034,2008,4,50,1.72,1.84
2037,2008,4,54,1.32,1.4
2038,2008,4,55,1.5,1.6
2039,2008,4,56,1.4,1.5
