,year,qtr,state_fips,low,high
2040,2009,1,1,1.72,1.84
2041,2009,1,2,1.72,1.84
2043,2009,1,5,1.4,1.5
2046,2009,1,9,1.72,1.84
2047,2009,1,10,1.84,2.06
2048,2009,1,11,0.41,1.11
2053,2009,1,17,1.72,1.84
2054,2009,1,18,1.6,1.72
2055,2009,1,19,1.32,1.4
2056,2009,1,20,1.32,1.4
2057,2009,1,21,1.5,1.6
2058,2009,1,22,1.32,1.4
2059,2009,1,23,1.84,2.06
2061,2009,1,25,1.72,1.84
2062,2009,1,26,1.84,2.06
2063,2009,1,27,1.72,1.84
2064,2009,1,28,1.6,1.72
2065,2009,1,29,1.6,1.72
2067,2009,1,31,1.32,1.4
2071,2009,1,35,1.84,2.06
2072,2009,1,36,1.4,1.5
2074,2009,1,38,0.41,1.11
2075,2009,1,39,1.6,1.72
2076,2009,1,40,1.4,1.5
2078,2009,1,42,1.5,1.6
2081,2009,1,46,1.5,1.6
2082,2009,1,47,1.72,1.84
2083,2009,1,48,1.32,1.4
2085,2009,1,50,1.6,1.72
2088,2009,1,54,1.32,1.4
2089,2009,1,55,1.5,1.6
2090,2009,1,56,1.4,1.5
2091,2009,2,1,1.72,1.84
2092,2009,2,2,1.72,1.84
2094,2009,2,5,1.5,1.6
2097,2009,2,9,1.84,2.06
2098,2009,2,10,1.84,2.06
2099,2009,2,11,0.41,1.11
2104,2009,2,17,1.72,1.84
2105,2009,2,18,1.6,1.72
2106,2009,2,19,1.32,1.4
2107,2009,2,20,1.32,1.4
2108,2009,2,21,1.5,1.6
2109,2009,2,22,1.4,1.5
2110,2009,2,23,1.84,2.06
2112,2009,2,25,1.72,1.84
2113,2009,2,26,1.84,2.06
2114,2009,2,27,1.84,2.06
2115,2009,2,28,1.6,1.72
2116,2009,2,29,1.6,1.72
2118,2009,2,31,1.32,1.4
2122,2009,2,35,1.84,2.06
2123,2009,2,36,1.4,1.5
2124,2009,2,37,1.84,2.06
2125,2009,2,38,0.41,1.11
2126,2009,2,39,1.6,1.72
2127,2009,2,40,1.4,1.5
2129,2009,2,42,1.5,1.6
2132,2009,2,46,1.6,1.72
2133,2009,2,47,1.72,1.84
2134,2009,2,48,1.32,1.4
2136,2009,2,50,1.72,1.84
2139,2009,2,54,1.32,1.4
2140,2009,2,55,1.5,1.6
2141,2009,2,56,1.5,1.6
2142,2009,3,1,1.72,1.84
2143,2009,3,2,1.72,1.84
2145,2009,3,5,1.5,1.6
2148,2009,3,9,1.84,2.06
2149,2009,3,10,1.84,2.06
2150,2009,3,11,0.41,1.11
2155,2009,3,17,1.84,2.06
2156,2009,3,18,1.6,1.72
2157,2009,3,19,1.4,1.5
2158,2009,3,20,1.4,1.5
2159,2009,3,21,1.5,1.6
2160,2009,3,22,1.4,1.5
2161,2009,3,23,1.84,2.06
2163,2009,3,25,1.72,1.84
2164,2009,3,26,1.84,2.06
2165,2009,3,27,1.84,2.06
2166,2009,3,28,1.6,1.72
2167,2009,3,29,1.6,1.72
2169,2009,3,31,1.4,1.5
2173,2009,3,35,1.84,2.06
2174,2009,3,36,1.4,1.5
2176,2009,3,38,0.41,1.11
2177,2009,3,39,1.6,1.72
2178,2009,3,40,1.4,1.5
2180,2009,3,42,1.5,1.6
2183,2009,3,46,1.6,1.72
2184,2009,3,47,1.72,1.84
2185,2009,3,48,1.32,1.4
2187,2009,3,50,1.72,1.84
2190,2009,3,54,1.32,1.4
2191,2009,3,55,1.5,1.6
2192,2009,3,56,1.6,1.72
2193,2009,4,1,1.6,1.72
2194,2009,4,2,1.6,1.72
2196,2009,4,5,1.4,1.5
2199,2009,4,9,1.72,1.84
2200,2009,4,10,1.84,2.06
2201,2009,4,11,0.41,1.11
2206,2009,4,17,1.72,1.84
2207,2009,4,18,1.5,1.6
2208,2009,4,19,1.32,1.4
2209,2009,4,20,1.32,1.4
2210,2009,4,21,1.4,1.5
2211,2009,4,22,1.32,1.4
2212,2009,4,23,1.84,2.06
2214,2009,4,25,1.6,1.72
2215,2009,4,26,1.72,1.84
2216,2009,4,27,1.72,1.84
2217,2009,4,28,1.5,1.6
2218,2009,4,29,1.5,1.6
2219,2009,4,30,1.84,2.06
2220,2009,4,31,1.32,1.4
2223,2009,4,34,1.84,2.06
2224,2009,4,35,1.72,1.84
2225,2009,4,36,1.32,1.4
2226,2009,4,37,1.84,2.06
2227,2009,4,38,0.41,1.11
2228,2009,4,39,1.5,1.6
2229,2009,4,40,1.4,1.5
2231,2009,4,42,1.4,1.5
2232,2009,4,44,1.84,2.06
2234,2009,4,46,1.6,1.72
2235,2009,4,47,1.6,1.72
2236,2009,4,48,1.24,1.32
2238,2009,4,50,1.6,1.72
2241,2009,4,54,1.24,1.32
2242,2009,4,55,1.4,1.5
2243,2009,4,56,1.6,1.72
