FinCEN: Core Based Statistical Area (CBSA) Subjects Reported in Recent* MLF SARs (Subjects Per Million Population),,,,,,,,,,,,,,,,,,,,,,,,,,,,
CBSA,MSA FIPS,2006 Q1 ,2006 Q2,2006 Q3,2006 Q4,2007 Q1,2007 Q2,2007 Q3,2007 Q4,2008 Q1,2008 Q2,2008 Q3,2008 Q4,2009 Q1,2009 Q2,2009 Q3,2009 Q4,2010 Q1,2010 Q2,2010 Q3,2010 Q4,2011 Q1,2011 Q2,2011 Q3,2011 Q4,2012 Q1,2012 Q2,Header
"Portland-Vancouver-Beaverton, OR-WA",38900,45.1,38.9,30.1,35.8,50.8,36.3,55.9,72.6,79.0,74.4,68.1,99.8,83.9,114.4,104.4,113.7,33.0,18.3,24.1,20.1,17.8,17.4,17.4,22.7,16.2,17.5,Data
"Sacramento--Arden-Arcade--Roseville, CA",40900,47.8,73.9,73.1,105.3,129.7,127.3,161.4,157.1,254.4,276.6,234.2,276.0,219.4,202.3,170.6,222.8,38.1,32.9,43.7,42.3,47.0,33.4,29.1,32.4,40.0,62.8,Data
"San Antonio, TX",41700,10.6,15.4,7.2,22.2,11.4,16.0,20.7,18.1,30.2,23.2,14.8,25.1,23.6,20.2,15.9,24.1,10.6,12.1,9.2,8.2,10.6,6.8,5.3,15.9,6.1,8.4,Data
"Orlando-Kissimmee, FL",36740,51.6,67.5,72.0,80.5,118.5,149.5,153.8,174.5,284.0,315.0,254.2,338.7,332.4,392.0,361.1,310.2,54.3,56.7,68.2,75.4,26.4,35.5,40.8,51.9,40.8,53.4,Data
"Cincinnati-Middletown, OH-KY-IN",17140,48.0,29.5,26.4,31.1,41.9,39.1,44.7,42.8,51.2,48.4,32.9,44.5,18.1,27.3,38.7,29.5,4.6,14.7,7.4,9.7,9.2,4.6,10.6,15.7,12.2,17.8,Data
"Cleveland-Elyria-Mentor, OH",17460,40.1,48.2,46.5,57.0,64.1,71.2,80.0,71.9,100.5,70.0,64.0,53.0,86.0,55.9,56.9,59.3,14.8,8.6,20.6,15.8,10.0,4.8,12.4,7.7,10.6,14.4,Data
"Kansas City, MO-KS",28140,45.4,58.7,74.6,65.5,58.9,98.7,76.5,79.0,70.6,47.7,55.7,71.8,45.5,43.5,42.6,59.0,17.4,28.5,9.7,14.5,10.6,9.7,12.6,12.1,12.8,12.8,Data
"Las Vegas-Paradise, NV",29820,78.4,98.3,104.6,119.8,150.7,197.4,206.7,287.2,362.2,338.3,268.7,295.4,296.4,332.6,273.3,384.7,65.2,72.0,66.2,68.3,39.9,32.6,54.7,39.9,47.7,59.4,Data
"San Jose-Sunnyvale-Santa Clara, CA",41940,86.9,121.5,97.5,133.9,136.2,155.6,199.1,189.5,284.0,326.7,284.4,278.4,254.1,240.2,195.7,228.8,58.7,63.6,72.3,73.9,81.5,72.8,81.0,59.2,49.0,66.4,Data
"Columbus, OH",18140,53.1,57.7,57.0,53.0,83.5,91.5,72.8,69.9,93.8,76.7,56.2,62.4,77.0,44.4,63.8,60.5,8.3,12.2,13.9,13.3,15.5,15.0,15.5,15.0,15.8,22.3,Data
"Charlotte-Gastonia-Concord, NC-SC",16740,60.5,52.7,51.8,49.9,37.3,66.3,68.4,58.8,103.0,75.7,80.3,85.0,70.9,76.8,68.2,90.5,22.3,30.4,22.9,29.2,20.6,16.0,16.0,22.9,20.5,25.0,Data
"Indianapolis-Carmel, IN",26900,49.8,97.9,92.1,117.8,111.3,101.1,77.2,89.5,92.5,66.0,94.7,107.5,101.7,69.7,86.0,82.6,33.8,27.5,17.8,21.2,16.6,9.7,16.6,13.8,10.8,14.2,Data
"Austin-Round Rock, TX",12420,19.8,34.1,27.5,28.8,19.6,31.4,33.9,37.0,35.7,24.5,32.6,33.3,35.1,31.4,34.0,31.7,11.7,10.6,22.3,11.7,17.0,7.0,14.7,17.0,5.2,14.0,Data
"Virginia Beach-Norfolk-Newport News, VA-NC",47260,14.5,23.5,23.9,22.1,29.3,27.5,25.7,31.1,47.3,37.1,61.1,41.3,51.5,47.3,52.0,52.0,25.1,17.9,10.2,17.3,7.2,16.7,15.5,13.1,13.8,13.8,Data
"Providence-New Bedford-Fall River, RI-MA",39300,42.9,50.3,59.2,66.1,70.5,54.2,67.5,115.0,100.7,136.3,96.9,158.8,101.3,102.5,86.2,66.2,15.6,17.5,19.4,28.7,18.7,10.0,8.7,9.4,7.5,10.0,Data
