FinCEN: Core Based Statistical Area (CBSA) Subjects Reported in Recent* MLF SARs (Subjects Per Million Population),,,,,,,,,,,,,,,,,,,,,,,,,,,,
CBSA,MSA FIPS,2006 Q1 ,2006 Q2,2006 Q3,2006 Q4,2007 Q1,2007 Q2,2007 Q3,2007 Q4,2008 Q1,2008 Q2,2008 Q3,2008 Q4,2009 Q1,2009 Q2,2009 Q3,2009 Q4,2010 Q1,2010 Q2,2010 Q3,2010 Q4,2011 Q1,2011 Q2,2011 Q3,2011 Q4,2012 Q1,2012 Q2,Header
"Harrisburg-Carlisle, PA",25420,19.2,5.8,9.5,22.8,5.7,15.2,7.6,13.2,24.5,18.9,7.5,3.7,7.5,24.4,3.7,27.9,1.9,22.3,11.2,18.6,3.7,1.9,0.0,1.9,10.9,5.5,Data
"Ogden-Clearfield, UT",36260,93.7,75.3,39.7,71.5,37.8,49.7,58.0,81.2,90.8,85.0,56.5,84.7,62.1,43.3,99.7,62.8,16.6,18.5,14.8,36.9,18.5,20.3,14.8,11.1,9.1,16.4,Data
"Palm Bay-Melbourne-Titusville, FL",37340,28.5,20.9,56.6,35.8,30.2,37.7,46.8,48.7,84.2,84.2,59.7,108.1,147.3,141.7,121.2,134.2,14.9,28.0,24.2,24.2,24.2,16.8,28.0,28.0,22.1,38.6,Data
"Jackson, MS",27140,90.1,15.3,39.6,69.7,30.2,43.3,78.7,48.7,45.0,22.5,70.7,63.3,48.4,68.9,35.1,35.1,16.6,20.3,22.2,27.7,7.4,0.0,9.2,3.7,3.7,7.4,Data
"Chattanooga, TN-GA",16860,25.9,17.9,25.5,47.0,21.5,45.1,34.9,34.9,17.4,9.7,13.5,36.5,21.2,42.3,43.9,64.8,15.3,5.7,22.9,11.4,22.9,5.7,3.8,7.6,7.6,15.1,Data
"Provo-Orem, UT",39340,28.0,56.1,52.9,44.8,59.0,67.2,111.0,97.6,147.4,158.9,135.2,103.8,135.2,144.5,129.6,262.8,32.4,25.2,39.6,21.6,7.2,23.4,10.8,45.0,15.2,45.6,Data
"Lancaster, PA",29540,4.1,8.2,6.1,4.0,8.1,2.0,4.0,14.0,6.0,18.0,6.0,11.9,7.9,29.8,7.9,25.6,0.0,3.9,5.9,7.9,0.0,0.0,7.9,2.0,7.7,13.5,Data
"Modesto, CA",33700,72.2,96.3,73.6,180.9,171.0,260.4,173.8,156.0,238.9,345.6,234.5,279.8,279.8,234.5,192.0,195.9,47.0,41.1,47.0,43.1,39.2,52.9,37.2,9.8,36.9,36.9,Data
"Portland-South Portland-Biddeford, ME",38860,5.9,11.7,23.4,17.6,23.4,11.7,29.2,17.5,29.2,27.2,32.9,31.0,29.1,50.4,38.7,32.9,5.8,19.3,3.9,7.7,3.9,0.0,19.3,9.7,15.6,5.8,Data
"Durham-Chapel Hill, NC",20500,15.3,24.0,17.1,23.5,17.1,10.7,35.5,27.1,18.8,23.0,26.5,30.6,14.3,24.4,21.9,23.9,8.0,14.0,18.0,18.0,4.0,2.0,0.0,8.0,7.9,11.9,Data
"Deltona-Daytona Beach-Ormond Beach, FL",19660,14.4,16.5,24.3,36.4,32.4,52.6,36.1,48.1,58.1,62.2,72.4,120.6,76.4,108.6,123.0,98.8,20.2,40.3,34.3,22.2,10.1,12.1,18.1,10.1,18.2,20.2,Data
"Santa Rosa-Petaluma, CA",42220,30.3,47.7,65.2,84.8,63.1,108.7,153.9,86.7,138.7,218.9,210.1,223.0,154.4,139.4,137.7,173.7,19.1,10.6,27.5,14.8,31.8,21.2,31.8,27.5,10.3,45.5,Data
"Winston-Salem, NC",49180,13.2,8.8,10.8,17.3,25.9,23.8,40.3,16.9,27.5,46.6,16.7,27.1,14.6,43.7,26.8,30.9,6.2,18.6,8.2,6.2,14.4,0.0,4.1,10.3,8.4,4.2,Data
"Lexington-Fayette, KY",30460,4.6,38.7,13.4,6.7,29.0,4.5,6.6,17.6,17.6,13.2,15.1,21.5,15.1,32.3,25.5,23.4,2.1,4.2,12.7,12.7,0.0,10.6,10.6,19.1,44.5,29.7,Data
"Spokane, WA",44060,9.1,20.4,26.8,22.4,4.5,26.8,43.8,43.8,35.1,48.2,26.0,47.6,28.1,38.9,38.4,27.7,19.2,6.4,8.5,19.2,23.5,10.7,23.5,23.5,4.2,6.4,Data
"Lansing-East Lansing, MI",29620,37.2,81.1,30.7,48.3,94.3,87.7,107.6,72.4,101.0,105.4,72.6,61.6,85.8,92.4,57.3,48.5,28.7,13.2,19.8,17.6,26.5,0.0,26.5,52.9,15.1,21.6,Data
"Fayetteville-Springdale-Rogers, AR-MO",22220,16.9,41.1,23.2,48.8,27.9,44.2,38.3,60.8,72.1,47.3,57.1,61.5,30.7,94.4,49.5,58.1,17.2,21.5,21.5,8.6,10.8,10.8,12.9,10.8,13.0,19.4,Data
"Pensacola-Ferry Pass-Brent, FL",37860,4.5,18.0,15.6,24.5,33.4,2.2,20.0,20.0,51.1,22.2,37.5,59.6,41.9,130.2,52.7,22.0,6.6,15.4,8.8,6.6,6.6,11.0,13.2,26.4,6.7,4.5,Data
"Visalia-Porterville, CA",47300,22.3,64.4,24.4,24.4,34.2,46.4,50.5,38.4,120.1,81.7,52.1,56.8,68.7,59.2,32.6,46.5,4.7,16.3,14.0,18.6,16.3,2.3,9.3,9.3,11.3,11.3,Data
"Springfield, MO",44180,35.0,12.5,41.4,75.5,51.1,63.3,40.5,26.2,31.0,26.2,65.7,18.8,84.5,100.9,88.2,78.9,7.0,30.2,4.6,16.2,11.6,11.6,16.2,7.0,29.8,6.9,Data
"York-Hanover, PA",49620,12.3,4.9,16.9,12.0,9.6,36.1,11.9,19.0,14.2,30.8,23.5,51.7,23.5,16.4,30.3,46.6,4.7,0.0,9.3,11.7,4.7,2.3,23.3,18.7,11.5,6.9,Data
"Corpus Christi, TX",18580,2.4,4.9,7.3,9.7,19.4,2.4,9.7,4.9,19.4,19.4,0.0,19.4,4.8,4.8,4.8,9.6,4.8,4.8,4.8,4.8,12.0,0.0,4.8,0.0,4.7,4.7,Data
"Flint, MI",22420,56.9,118.4,59.4,68.6,91.5,109.7,99.1,101.4,85.2,101.4,49.0,63.0,53.6,58.3,59.0,75.5,16.5,9.4,14.1,14.1,14.1,4.7,7.1,0.0,7.0,2.3,Data
"Reno-Sparks, NV",39900,50.6,86.1,34.8,59.6,54.7,49.7,80.4,63.3,99.8,126.6,88.8,88.8,117.6,98.4,126.4,162.2,11.9,28.6,21.5,35.8,28.6,26.2,21.5,11.9,37.6,9.4,Data
"Asheville, NC",11700,0.0,12.8,10.1,12.6,12.6,25.1,14.8,14.8,22.3,27.2,9.8,53.8,41.6,56.2,36.3,58.2,41.2,92.1,17.0,46.0,26.7,9.7,9.7,4.8,4.7,18.8,Data
"Port St. Lucie, FL",38940,18.6,26.6,49.0,31.0,54.2,121.3,90.2,105.2,140.2,137.7,195.2,160.6,261.9,210.0,137.8,211.7,34.5,39.4,41.8,41.8,34.5,29.5,32.0,29.5,25.9,23.6,Data
"Santa Barbara-Santa Maria-Goleta, CA",42060,60.0,35.0,75.3,52.7,27.6,75.3,97.4,77.4,192.3,152.3,128.8,156.1,156.1,111.5,95.8,95.8,29.5,12.3,34.4,34.4,27.0,34.4,46.7,17.2,16.5,51.9,Data
"Huntsville, AL",26620,10.8,16.2,15.8,13.2,55.4,23.7,23.2,36.1,46.4,20.6,10.1,25.2,40.3,22.7,17.2,46.8,17.2,32.0,0.0,14.8,7.4,9.8,14.8,7.4,4.8,7.2,Data
"Fort Wayne, IN",23060,49.7,89.4,56.6,56.6,64.0,49.2,119.6,24.4,46.4,46.4,48.6,46.2,46.2,24.3,65.2,50.7,24.1,9.7,7.2,4.8,4.8,9.7,4.8,14.5,9.6,12.0,Data
"Salinas, CA",41500,46.9,106.1,59.8,77.2,114.6,99.7,176.6,131.8,174.1,283.5,199.7,204.6,204.6,123.3,187.6,238.8,12.2,39.0,36.6,39.0,63.4,60.9,9.7,17.1,45.8,41.0,Data
"Vallejo-Fairfield, CA",46700,73.8,61.5,56.6,61.5,142.8,182.2,206.9,204.4,226.6,342.4,243.7,300.3,199.4,233.8,164.5,208.7,27.0,41.7,58.9,29.5,34.4,29.5,27.0,2.5,4.8,12.1,Data
"Mobile, AL",33660,37.7,30.1,12.4,19.9,12.4,19.9,61.7,14.8,14.8,27.1,31.8,29.3,31.8,26.9,36.4,24.3,17.0,14.6,2.4,7.3,2.4,14.6,4.9,4.9,2.4,16.9,Data
"Reading, PA",39740,22.9,27.9,22.5,0.0,27.5,15.0,5.0,27.3,42.2,29.8,27.2,12.4,32.1,32.1,19.6,19.6,4.9,17.2,7.4,22.1,9.8,4.9,2.5,4.9,2.4,17.0,Data
"Brownsville-Harlingen, TX",15180,10.8,29.7,26.5,2.7,15.9,21.2,5.2,20.9,23.5,13.1,5.1,7.7,15.4,12.8,12.6,7.6,5.0,2.5,7.6,7.6,10.1,5.0,7.6,2.5,17.2,7.4,Data
"Killeen-Temple-Fort Hood, TX",28660,25.4,2.8,2.8,5.6,8.4,13.9,5.4,13.5,5.4,10.8,10.5,10.5,15.8,7.9,15.8,13.2,2.6,18.5,21.1,7.9,7.9,0.0,10.5,7.9,9.9,0.0,Data
"Canton-Massillon, OH",15940,19.6,29.4,24.5,31.9,22.1,36.8,41.6,39.2,34.3,12.2,29.4,22.0,22.0,22.0,12.3,39.2,7.4,7.4,9.8,7.4,4.9,0.0,4.9,7.4,9.9,17.3,Data
"Manchester-Nashua, NH",31700,17.5,17.5,22.4,29.9,22.4,32.4,27.3,39.7,29.8,37.2,54.4,64.3,59.4,37.1,39.4,37.0,7.4,4.9,14.8,12.3,19.7,14.8,19.7,7.4,12.5,17.5,Data
"Shreveport-Bossier City, LA",43340,5.2,26.2,23.2,31.0,28.4,31.0,10.3,15.5,25.8,25.8,25.7,36.0,7.7,30.8,61.3,12.8,12.8,2.6,7.7,10.2,10.2,0.0,23.0,40.9,7.5,0.0,Data
"Salem, OR",41420,21.5,24.2,21.1,13.2,37.0,21.1,31.2,23.4,54.5,93.5,58.9,33.3,64.0,43.5,60.6,73.2,32.8,32.8,20.2,12.6,20.2,5.0,5.0,25.2,15.4,7.7,Data
"Beaumont-Port Arthur, TX",13140,13.1,5.3,16.1,13.4,5.4,24.1,0.0,8.0,13.3,10.6,10.6,5.3,2.6,13.2,5.3,29.1,5.3,7.9,5.3,2.6,7.9,0.0,2.6,2.6,7.7,10.3,Data
"Anchorage, AK",11260,17.1,22.7,33.4,22.3,16.7,33.4,13.9,19.4,41.6,41.6,19.1,30.1,2.7,16.4,8.0,24.0,8.0,2.7,37.4,10.7,0.0,0.0,2.7,18.7,21.0,15.8,Data
"Davenport-Moline-Rock Island, IA-IL",19340,13.4,2.7,2.7,21.4,8.0,2.7,8.0,32.0,8.0,8.0,29.2,21.2,2.7,13.3,21.1,10.6,7.9,7.9,5.3,7.9,13.2,2.6,7.9,7.9,10.5,18.4,Data
"Peoria, IL",37900,8.2,13.6,5.4,19.0,2.7,8.1,5.4,18.9,32.3,18.9,5.4,0.0,18.8,16.1,5.3,21.3,10.6,0.0,0.0,8.0,8.0,0.0,2.7,5.3,7.9,2.6,Data
"Montgomery, AL",33860,8.4,11.2,19.3,24.8,33.1,19.3,30.1,32.8,21.9,13.7,32.8,24.6,24.6,21.9,21.8,35.5,2.7,8.2,8.2,27.3,24.6,13.6,5.5,2.7,5.3,5.3,Data
"Tallahassee, FL",45220,14.6,11.7,43.2,20.2,20.2,34.5,42.4,39.6,28.3,25.5,25.2,19.6,42.0,47.6,33.3,38.9,8.3,5.6,11.1,11.1,25.0,0.0,0.0,47.2,8.2,32.7,Data
"Trenton-Ewing, NJ",45940,19.3,19.3,77.2,41.3,16.5,38.6,44.0,63.3,63.3,55.0,93.3,41.1,68.6,60.3,81.9,32.8,21.8,2.7,35.5,10.9,19.1,2.7,10.9,10.9,10.9,13.6,Data
"Fayetteville, NC",22180,43.5,20.3,43.1,43.1,31.6,11.5,42.7,19.9,8.5,31.3,50.8,31.0,39.5,22.6,25.0,25.0,33.3,25.0,13.9,2.8,19.4,0.0,8.3,11.1,2.7,13.6,Data
"Hickory-Lenoir-Morganton, NC",25860,5.7,14.1,16.8,11.2,8.4,14.0,11.1,30.5,16.7,33.3,5.5,24.8,11.0,41.3,41.1,16.4,10.9,8.2,5.5,13.7,2.7,2.7,2.7,2.7,2.7,8.2,Data
"Wilmington, NC",48900,19.0,25.3,24.3,33.4,36.4,42.5,29.5,29.5,29.5,58.9,20.1,54.6,66.1,69.0,95.9,98.7,11.3,62.1,11.3,36.7,16.9,8.5,19.7,22.6,16.6,16.6,Data
"Evansville, IN-KY",21780,11.5,20.1,11.5,28.7,20.1,2.9,42.8,2.9,20.0,8.6,14.3,22.8,11.4,20.0,19.9,42.6,11.4,2.8,2.8,2.8,2.8,0.0,11.4,2.8,2.8,11.2,Data
"Eugene-Springfield, OR",21660,11.9,8.9,17.7,11.8,20.6,14.7,43.5,20.3,20.3,29.0,34.4,17.2,25.8,54.5,17.1,51.3,19.9,11.4,25.6,2.8,8.5,5.7,0.0,0.0,8.5,2.8,Data
"Rockford, IL",40420,47.2,53.1,32.0,20.3,20.3,11.6,48.5,11.4,22.8,48.5,39.6,36.8,22.6,45.3,56.5,76.3,2.8,28.3,17.0,31.1,11.3,19.8,56.5,53.7,5.7,8.6,Data
"Savannah, GA",42340,6.4,9.5,12.4,49.8,34.2,37.3,54.6,36.4,42.5,27.3,23.9,35.9,53.8,41.8,55.4,75.8,23.3,20.4,23.3,46.6,26.2,5.8,0.0,8.7,2.9,2.9,Data
"Ann Arbor, MI",11460,46.5,32.0,34.7,26.0,37.6,66.5,60.4,94.9,57.5,74.8,72.5,58.0,66.7,49.3,69.1,57.5,5.8,17.3,8.6,23.0,5.8,17.3,11.5,8.6,5.8,17.4,Data
"Ocala, FL",36100,16.6,16.6,28.7,22.3,54.1,54.1,55.7,86.7,71.2,65.0,253.7,82.5,70.3,70.3,149.1,115.7,39.6,15.2,27.4,33.5,45.7,6.1,12.2,27.4,18.1,66.4,Data
"Kalamazoo-Portage, MI",28020,9.4,9.4,9.3,24.9,3.1,21.8,12.4,46.5,18.6,18.6,52.4,27.8,33.9,46.3,15.3,21.4,6.1,9.2,0.0,18.4,3.1,12.2,0.0,6.1,9.2,24.5,Data
"Naples-Marco Island, FL",34940,81.5,81.5,77.0,67.4,131.6,157.2,248.8,306.3,319.0,344.5,320.1,399.3,339.1,310.6,248.0,263.7,40.8,22.0,40.8,25.1,28.3,9.4,6.3,34.5,31.1,56.0,Data
"South Bend-Mishawaka, IN-MI",43780,69.7,139.4,107.6,53.8,174.0,101.2,72.6,59.9,56.8,47.3,66.0,25.1,40.9,34.6,25.2,34.6,0.0,0.0,0.0,3.1,0.0,0.0,0.0,12.6,0.0,12.5,Data
"Kingsport-Bristol-Bristol, TN-VA",28700,26.7,0.0,0.0,26.5,9.9,23.2,13.2,19.8,19.8,16.5,3.3,3.3,0.0,0.0,22.9,22.9,22.9,6.5,22.9,3.3,6.5,0.0,3.3,0.0,0.0,3.2,Data
"Roanoke, VA",40220,6.8,3.4,17.0,23.7,10.2,6.8,0.0,6.7,10.1,10.1,0.0,6.7,13.4,6.7,39.9,16.6,0.0,20.0,3.3,10.0,13.3,0.0,3.3,3.3,13.0,3.2,Data
"Green Bay, WI",24580,3.4,13.5,10.1,26.8,67.0,46.9,59.8,46.5,59.8,59.8,16.5,39.7,46.3,19.8,39.4,36.1,16.4,16.4,19.7,39.4,16.4,0.0,13.1,13.1,19.6,6.5,Data
"Charleston, WV",16620,16.4,6.6,3.3,6.6,6.6,6.6,26.4,6.6,3.3,3.3,0.0,3.3,23.1,9.9,13.1,32.9,3.3,36.2,9.9,3.3,3.3,0.0,3.3,9.9,0.0,3.3,Data
"Lincoln, NE",30700,7.0,10.6,13.9,17.4,20.9,13.9,10.3,6.9,34.4,20.6,0.0,0.0,27.1,30.5,16.8,23.5,13.4,10.1,0.0,10.1,33.6,3.4,0.0,0.0,3.3,3.3,Data
"Fort Collins-Loveland, CO",22660,50.8,21.8,28.4,32.0,99.6,71.1,34.9,45.3,45.3,62.7,54.6,47.8,68.3,99.0,63.7,77.1,30.2,20.1,6.7,16.8,13.4,0.0,0.0,3.4,0.0,3.3,Data
"Utica-Rome, NY",46540,0.0,0.0,0.0,0.0,3.4,0.0,3.4,13.6,13.6,0.0,27.3,0.0,0.0,6.8,0.0,0.0,6.8,10.2,0.0,3.4,0.0,0.0,0.0,3.4,3.3,0.0,Data
"Fort Smith, AR-OK",22900,17.7,0.0,14.0,3.5,17.5,0.0,0.0,10.4,13.8,10.4,6.9,6.9,13.7,0.0,17.1,10.2,0.0,0.0,10.2,0.0,0.0,0.0,3.4,3.4,0.0,0.0,Data
"Columbus, GA-AL",17980,0.0,20.8,20.7,58.6,31.0,17.2,20.9,31.4,41.8,17.4,10.4,24.4,34.8,20.9,17.1,41.0,10.2,0.0,17.1,17.1,13.7,0.0,3.4,20.5,20.3,10.2,Data
"Boulder, CO",14500,24.4,59.3,37.7,37.7,27.4,68.6,37.2,37.2,74.4,27.1,53.3,93.2,76.6,73.2,52.7,98.9,13.2,3.3,6.6,19.8,29.7,3.3,6.6,19.8,44.1,44.1,Data
"Huntington-Ashland, WV-KY-OH",26580,3.5,3.5,10.5,17.6,14.0,21.1,24.6,7.0,17.6,7.0,3.5,21.1,0.0,14.0,10.5,28.0,3.5,10.5,3.5,0.0,0.0,0.0,0.0,21.0,7.0,0.0,Data
"Lubbock, TX",31180,3.8,7.6,11.3,11.3,11.3,22.5,11.1,26.0,3.7,7.4,14.7,14.7,11.0,7.4,14.5,10.8,3.6,10.8,14.5,7.2,3.6,0.0,3.6,21.7,3.5,7.0,Data
"Spartanburg, SC",43900,30.1,26.3,18.5,29.5,40.6,33.2,14.5,39.8,32.5,28.9,46.0,24.8,38.9,35.4,27.9,45.3,7.0,13.9,10.5,24.4,10.5,3.5,7.0,0.0,3.5,3.5,Data
"Erie, PA",21500,3.6,0.0,10.7,3.6,21.4,7.1,7.1,0.0,7.1,17.9,3.6,7.2,3.6,0.0,3.6,3.6,3.6,0.0,0.0,0.0,3.6,0.0,0.0,17.8,0.0,0.0,Data
"Duluth, MN-WI",20260,7.3,0.0,3.7,32.9,0.0,11.0,11.0,11.0,25.6,32.9,7.3,36.3,18.2,25.4,18.1,28.9,3.6,3.6,7.2,3.6,7.2,3.6,7.2,0.0,10.7,0.0,Data
"Atlantic City-Hammonton, NJ",12100,41.0,0.0,33.4,29.7,51.9,59.4,96.3,66.7,51.9,77.8,73.9,136.7,37.0,14.8,22.1,77.3,3.7,11.0,3.7,11.0,7.4,14.7,7.4,14.7,3.6,10.9,Data
"Norwich-New London, CT",35980,7.5,22.6,14.9,11.2,11.2,7.5,7.6,26.5,18.9,34.0,15.0,22.6,26.3,18.8,45.0,18.7,3.7,7.5,11.2,15.0,15.0,7.5,3.7,3.7,0.0,3.6,Data
"Clarksville, TN-KY",17300,0.0,4.0,11.9,4.0,11.9,7.9,7.6,15.3,7.6,3.8,7.6,19.1,0.0,3.8,18.6,29.8,3.7,7.4,7.4,11.2,3.7,0.0,18.6,11.2,3.7,18.3,Data
"Lafayette, LA",29180,0.0,4.0,27.5,54.9,11.8,23.5,46.7,19.5,62.3,15.6,15.4,15.4,38.5,30.8,19.0,34.2,3.8,30.4,15.2,22.8,7.6,0.0,3.8,3.8,25.6,0.0,Data
"San Luis Obispo-Paso Robles, CA",42020,23.3,27.2,38.6,46.3,23.1,50.1,57.3,45.9,80.2,84.1,49.0,101.8,60.3,71.7,59.9,71.2,15.0,18.7,18.7,30.0,26.2,26.2,15.0,11.2,22.3,18.5,Data
"Myrtle Beach-North Myrtle Beach-Conway, SC",34820,48.1,39.4,87.2,62.3,54.0,112.2,115.6,103.6,91.7,163.4,115.9,170.0,228.0,123.7,166.8,189.5,128.9,53.1,30.3,68.2,30.3,7.6,37.9,18.9,3.7,18.6,Data
"Hagerstown-Martinsburg, MD-WV",25180,0.0,16.0,31.2,27.3,7.8,50.7,19.1,30.6,38.3,53.6,41.6,53.0,30.3,98.4,26.3,48.8,18.8,3.8,3.8,11.3,3.8,3.8,3.8,0.0,7.4,14.9,Data
"Gainesville, FL",23540,12.1,24.2,15.8,23.6,15.8,7.9,11.7,31.1,31.1,31.1,23.2,19.3,23.2,15.4,76.7,34.5,15.3,3.8,3.8,0.0,15.3,3.8,0.0,23.0,7.6,15.1,Data
"Holland-Grand Haven, MI",26100,55.1,7.9,11.7,35.0,15.6,3.9,15.5,27.0,54.1,46.4,15.3,23.0,57.5,38.3,61.1,42.0,15.3,11.5,11.5,7.6,7.6,19.1,22.9,26.7,15.2,19.0,Data
"Santa Cruz-Watsonville, CA",42100,40.2,52.2,60.3,72.4,68.3,76.4,119.9,111.9,135.9,123.9,185.8,146.3,102.8,118.6,97.6,191.2,54.6,15.6,23.4,19.5,35.1,39.0,35.1,31.2,30.5,30.5,Data
"Cedar Rapids, IA",16300,8.1,20.2,4.0,16.1,24.1,36.1,19.8,19.8,4.0,4.0,7.8,19.6,11.8,23.5,15.6,23.4,0.0,3.9,3.9,0.0,0.0,0.0,3.9,0.0,0.0,0.0,Data
"Merced, CA",32900,29.4,46.2,95.6,99.8,120.6,108.1,135.8,123.4,144.0,172.8,171.9,176.0,176.0,167.8,183.4,138.6,4.1,8.2,16.3,24.5,69.3,40.8,20.4,12.2,15.6,27.4,Data
"Kennewick-Pasco-Richland, WA",28420,18.3,22.9,31.3,8.9,53.6,44.7,13.1,26.2,48.0,56.8,42.2,21.1,12.6,42.2,52.9,48.9,28.5,16.3,28.5,16.3,16.3,0.0,16.3,8.1,15.8,7.9,Data
"Greeley, CO",24540,17.7,48.7,29.9,25.6,42.7,76.8,90.8,103.2,33.0,70.2,48.2,44.2,96.4,72.3,106.0,51.0,11.8,19.6,11.8,7.9,11.8,3.9,23.6,11.8,7.9,15.8,Data
"Lynchburg, VA",31340,0.0,8.5,8.3,29.1,8.3,0.0,16.4,20.5,0.0,4.1,4.1,4.1,12.2,12.2,4.0,28.3,0.0,12.1,4.0,12.1,16.2,4.0,12.1,8.1,4.0,0.0,Data
"Olympia, WA",36500,35.1,35.1,12.9,25.7,17.1,34.3,20.9,29.3,37.7,54.5,8.1,20.4,40.7,52.9,59.8,63.8,8.0,19.9,4.0,12.0,4.0,4.0,8.0,4.0,7.9,15.9,Data
"Binghamton, NY",13780,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.2,16.3,8.2,8.2,20.4,28.6,8.2,20.4,0.0,0.0,8.2,0.0,0.0,0.0,0.0,0.0,4.0,0.0,Data
"Bremerton-Silverdale, WA",14740,0.0,4.2,16.7,25.0,16.7,29.2,12.6,54.6,12.6,54.6,50.0,33.4,50.0,37.5,41.5,41.5,16.6,16.6,37.4,24.9,29.1,8.3,12.5,24.9,19.9,27.9,Data
"Laredo, TX",29700,4.5,18.1,13.3,8.9,26.6,62.0,30.3,39.0,30.3,13.0,4.2,29.7,4.2,4.2,24.9,16.6,8.3,0.0,49.7,4.1,4.1,8.3,8.3,4.1,0.0,8.0,Data
"Amarillo, TX",11100,21.0,0.0,20.8,12.5,4.2,0.0,0.0,0.0,4.1,33.1,32.8,28.7,86.2,8.2,16.2,28.4,4.1,8.1,0.0,0.0,0.0,0.0,4.1,8.1,16.0,4.0,Data
"Gulfport-Biloxi, MS",25060,46.8,19.5,4.4,13.3,22.2,17.7,13.0,30.2,25.9,43.2,16.9,21.2,8.5,46.6,50.3,46.1,37.7,8.4,25.1,8.4,25.1,0.0,16.8,12.6,0.0,12.1,Data
"Yakima, WA",49420,0.0,26.3,13.0,30.4,26.1,17.4,17.2,25.8,64.6,64.6,21.3,25.5,46.8,17.0,4.2,46.0,12.5,4.2,12.5,20.9,16.7,4.2,8.4,4.2,4.1,4.1,Data
"Waco, TX",47380,4.5,22.3,4.4,31.0,17.7,17.7,8.8,4.4,17.5,8.8,8.7,4.3,17.3,4.3,4.3,12.9,0.0,0.0,4.3,0.0,12.9,0.0,0.0,0.0,4.3,72.4,Data
"Topeka, KS",45820,0.0,13.2,4.4,35.2,13.2,8.8,13.1,0.0,26.2,13.1,17.4,17.4,8.7,17.4,13.0,8.7,4.3,0.0,17.3,4.3,17.3,0.0,13.0,17.3,8.6,0.0,Data
"Macon, GA",31420,35.1,30.8,48.0,43.7,69.9,34.9,73.9,34.8,30.4,43.5,26.0,17.3,8.7,13.0,8.6,17.3,17.3,17.3,21.6,17.3,8.6,0.0,17.3,13.0,12.9,21.5,Data
"Champaign-Urbana, IL",16580,4.6,9.2,0.0,4.5,4.5,4.5,4.5,13.4,4.5,8.9,4.5,22.3,4.5,8.9,8.8,17.7,13.3,4.4,13.3,13.3,8.8,4.4,44.2,84.0,60.4,17.2,Data
"College Station-Bryan, TX",17780,0.0,0.0,0.0,20.0,24.9,5.0,9.9,4.9,4.9,0.0,4.8,9.7,0.0,4.8,4.7,14.1,4.7,0.0,9.4,0.0,9.4,4.7,0.0,0.0,0.0,4.4,Data
"Sioux Falls, SD",43620,0.0,0.0,9.0,36.0,0.0,27.0,26.3,13.2,13.2,0.0,4.3,8.6,25.7,21.4,25.2,37.8,12.6,12.6,21.0,16.8,4.2,0.0,4.2,8.4,0.0,13.1,Data
"Appleton, WI",11540,9.3,9.3,0.0,13.9,32.4,46.2,45.9,22.9,27.5,13.8,45.5,31.9,9.1,22.8,27.0,49.6,0.0,18.0,0.0,9.0,9.0,9.0,9.0,0.0,4.4,0.0,Data
"Chico, CA",17020,41.9,14.0,9.2,9.2,27.7,46.1,68.9,13.8,78.1,55.1,41.0,82.0,82.0,95.7,99.7,77.1,22.7,0.0,27.2,27.2,4.5,4.5,4.5,4.5,9.1,0.0,Data
"Tuscaloosa, AL",46220,30.1,25.1,9.8,4.9,0.0,0.0,9.7,14.5,38.8,0.0,4.8,9.6,4.8,28.7,28.5,14.2,9.5,9.5,0.0,0.0,23.7,4.7,23.7,0.0,0.0,18.2,Data
"Barnstable Town, MA",12700,44.5,8.9,17.9,22.4,49.2,67.2,45.0,72.0,85.5,81.0,36.1,31.6,76.7,63.2,54.3,95.0,13.6,9.0,13.6,22.6,13.6,0.0,9.0,22.6,23.2,13.9,Data
"Longview, TX",30980,10.0,0.0,5.0,0.0,5.0,5.0,0.0,29.6,0.0,9.9,4.9,19.6,9.8,14.7,14.5,9.7,0.0,0.0,4.8,0.0,9.7,0.0,0.0,4.8,0.0,0.0,Data
"Burlington-South Burlington, VT",15540,0.0,0.0,14.6,14.6,0.0,0.0,9.7,14.6,14.6,24.3,0.0,9.7,29.0,14.5,14.4,0.0,4.8,0.0,4.8,0.0,4.8,0.0,4.8,4.8,0.0,4.7,Data
"Prescott, AZ",39140,20.2,15.2,38.7,14.5,19.4,14.5,37.7,51.9,47.2,61.3,60.5,83.7,60.5,97.7,88.1,111.3,27.8,27.8,69.5,41.7,13.9,13.9,23.2,32.5,37.9,37.9,Data
