,hpi_type,hpi_flavor,frequency,level,place_name,place_id,yr,period,index_nsa,index_sa
2276,traditional,quarterly,State,Missouri,MO,2010,expanded-data,1,171.63,174.6
2277,traditional,quarterly,State,Missouri,MO,2010,expanded-data,2,176.76,173.96
2278,traditional,quarterly,State,Missouri,MO,2010,expanded-data,3,169.57,166.09
2279,traditional,quarterly,State,Missouri,MO,2010,expanded-data,4,164.51,164.03
2280,traditional,quarterly,State,Mississippi,MS,2010,expanded-data,1,166.67,169.22
2281,traditional,quarterly,State,Mississippi,MS,2010,expanded-data,2,167.08,166.71
2282,traditional,quarterly,State,Mississippi,MS,2010,expanded-data,3,167.16,166.6
2283,traditional,quarterly,State,Mississippi,MS,2010,expanded-data,4,163.48,164.51
2284,traditional,quarterly,State,Montana,MT,2010,expanded-data,1,300.17,300.87
2285,traditional,quarterly,State,Montana,MT,2010,expanded-data,2,301.31,298.77
2286,traditional,quarterly,State,Montana,MT,2010,expanded-data,3,294.85,292.09
2287,traditional,quarterly,State,Montana,MT,2010,expanded-data,4,288.79,288.2
2288,traditional,quarterly,State,North Carolina,NC,2010,expanded-data,1,174.12,175.56
2289,traditional,quarterly,State,North Carolina,NC,2010,expanded-data,2,175.7,174.24
2290,traditional,quarterly,State,North Carolina,NC,2010,expanded-data,3,171.5,169.8
2291,traditional,quarterly,State,North Carolina,NC,2010,expanded-data,4,169.05,168.97
2292,traditional,quarterly,State,North Dakota,ND,2010,expanded-data,1,247.81,246.46
2293,traditional,quarterly,State,North Dakota,ND,2010,expanded-data,2,250.55,245.29
2294,traditional,quarterly,State,North Dakota,ND,2010,expanded-data,3,252.7,247.9
2295,traditional,quarterly,State,North Dakota,ND,2010,expanded-data,4,257.45,253.57
2296,traditional,quarterly,State,Nebraska,NE,2010,expanded-data,1,197.64,200.02
2297,traditional,quarterly,State,Nebraska,NE,2010,expanded-data,2,205.22,202.34
2298,traditional,quarterly,State,Nebraska,NE,2010,expanded-data,3,201.5,198.86
2299,traditional,quarterly,State,Nebraska,NE,2010,expanded-data,4,198.43,197.7
2300,traditional,quarterly,State,New Hampshire,NH,2010,expanded-data,1,176.34,180.7
2301,traditional,quarterly,State,New Hampshire,NH,2010,expanded-data,2,184.64,183.15
2302,traditional,quarterly,State,New Hampshire,NH,2010,expanded-data,3,181.09,178.3
2303,traditional,quarterly,State,New Hampshire,NH,2010,expanded-data,4,177.18,177.16
2304,traditional,quarterly,State,New Jersey,NJ,2010,expanded-data,1,192.77,194.81
2305,traditional,quarterly,State,New Jersey,NJ,2010,expanded-data,2,192.72,192.51
2306,traditional,quarterly,State,New Jersey,NJ,2010,expanded-data,3,188.93,187.0
2307,traditional,quarterly,State,New Jersey,NJ,2010,expanded-data,4,184.05,183.4
2308,traditional,quarterly,State,New Mexico,NM,2010,expanded-data,1,222.85,224.06
2309,traditional,quarterly,State,New Mexico,NM,2010,expanded-data,2,222.22,220.96
2310,traditional,quarterly,State,New Mexico,NM,2010,expanded-data,3,216.63,215.44
2311,traditional,quarterly,State,New Mexico,NM,2010,expanded-data,4,213.73,213.22
2312,traditional,quarterly,State,Nevada,NV,2010,expanded-data,1,131.63,132.02
2313,traditional,quarterly,State,Nevada,NV,2010,expanded-data,2,131.4,130.45
2314,traditional,quarterly,State,Nevada,NV,2010,expanded-data,3,128.3,126.43
2315,traditional,quarterly,State,Nevada,NV,2010,expanded-data,4,124.26,123.18
2316,traditional,quarterly,State,New York,NY,2010,expanded-data,1,180.33,181.44
2317,traditional,quarterly,State,New York,NY,2010,expanded-data,2,183.76,182.14
2318,traditional,quarterly,State,New York,NY,2010,expanded-data,3,180.39,176.7
2319,traditional,quarterly,State,New York,NY,2010,expanded-data,4,178.91,177.12
2320,traditional,quarterly,State,Ohio,OH,2010,expanded-data,1,138.33,141.9
2321,traditional,quarterly,State,Ohio,OH,2010,expanded-data,2,143.26,140.74
2322,traditional,quarterly,State,Ohio,OH,2010,expanded-data,3,137.66,134.0
2323,traditional,quarterly,State,Ohio,OH,2010,expanded-data,4,136.06,135.02
2324,traditional,quarterly,State,Oklahoma,OK,2010,expanded-data,1,190.91,192.3
2325,traditional,quarterly,State,Oklahoma,OK,2010,expanded-data,2,196.31,193.22
2326,traditional,quarterly,State,Oklahoma,OK,2010,expanded-data,3,192.24,189.14
2327,traditional,quarterly,State,Oklahoma,OK,2010,expanded-data,4,190.13,188.66
2328,traditional,quarterly,State,Oregon,OR,2010,expanded-data,1,272.38,274.13
2329,traditional,quarterly,State,Oregon,OR,2010,expanded-data,2,276.44,273.24
2330,traditional,quarterly,State,Oregon,OR,2010,expanded-data,3,267.2,261.53
2331,traditional,quarterly,State,Oregon,OR,2010,expanded-data,4,257.11,255.46
2332,traditional,quarterly,State,Pennsylvania,PA,2010,expanded-data,1,181.45,183.95
2333,traditional,quarterly,State,Pennsylvania,PA,2010,expanded-data,2,185.64,183.41
2334,traditional,quarterly,State,Pennsylvania,PA,2010,expanded-data,3,181.08,178.12
2335,traditional,quarterly,State,Pennsylvania,PA,2010,expanded-data,4,178.37,177.7
2336,traditional,quarterly,State,Rhode Island,RI,2010,expanded-data,1,168.53,169.86
2337,traditional,quarterly,State,Rhode Island,RI,2010,expanded-data,2,172.95,171.1
2338,traditional,quarterly,State,Rhode Island,RI,2010,expanded-data,3,167.02,164.29
2339,traditional,quarterly,State,Rhode Island,RI,2010,expanded-data,4,166.87,165.26
2340,traditional,quarterly,State,South Carolina,SC,2010,expanded-data,1,173.48,174.86
2341,traditional,quarterly,State,South Carolina,SC,2010,expanded-data,2,177.71,176.4
2342,traditional,quarterly,State,South Carolina,SC,2010,expanded-data,3,171.04,169.59
2343,traditional,quarterly,State,South Carolina,SC,2010,expanded-data,4,168.73,168.02
2344,traditional,quarterly,State,South Dakota,SD,2010,expanded-data,1,227.88,228.69
2345,traditional,quarterly,State,South Dakota,SD,2010,expanded-data,2,230.08,227.87
2346,traditional,quarterly,State,South Dakota,SD,2010,expanded-data,3,227.39,224.42
2347,traditional,quarterly,State,South Dakota,SD,2010,expanded-data,4,224.19,223.85
2348,traditional,quarterly,State,Tennessee,TN,2010,expanded-data,1,179.71,181.49
2349,traditional,quarterly,State,Tennessee,TN,2010,expanded-data,2,185.5,183.96
2350,traditional,quarterly,State,Tennessee,TN,2010,expanded-data,3,179.1,176.89
2351,traditional,quarterly,State,Tennessee,TN,2010,expanded-data,4,178.7,177.93
