<<<<<<< HEAD
"date","drsfrmacbs"
"1997-01-01",2.32
"1997-04-01",2.19
"1997-07-01",2.22
"1997-10-01",2.34
=======
"date","drsfrmacbs"
"1997-01-01",2.32
"1997-04-01",2.19
"1997-07-01",2.22
"1997-10-01",2.34
>>>>>>> 7eed3b6449346a7684fc91f24af1e1f0918b3310
