,year,qtr,state_fips,low,high
2856,2013,1,1,1.4,1.5
2857,2013,1,2,1.5,1.6
2858,2013,1,4,1.72,1.84
2859,2013,1,5,1.24,1.32
2861,2013,1,8,1.72,1.84
2862,2013,1,9,1.5,1.6
2863,2013,1,10,1.5,1.6
2864,2013,1,11,0.41,1.11
2865,2013,1,12,1.84,2.06
2866,2013,1,13,1.6,1.72
2868,2013,1,16,1.84,2.06
2869,2013,1,17,1.32,1.4
2870,2013,1,18,1.24,1.32
2871,2013,1,19,1.11,1.24
2872,2013,1,20,1.11,1.24
2873,2013,1,21,1.24,1.32
2874,2013,1,22,1.11,1.24
2875,2013,1,23,1.6,1.72
2877,2013,1,25,1.32,1.4
2878,2013,1,26,1.32,1.4
2879,2013,1,27,1.32,1.4
2880,2013,1,28,1.4,1.5
2881,2013,1,29,1.32,1.4
2882,2013,1,30,1.6,1.72
2883,2013,1,31,1.11,1.24
2884,2013,1,32,1.72,1.84
2885,2013,1,33,1.6,1.72
2886,2013,1,34,1.6,1.72
2887,2013,1,35,1.6,1.72
2888,2013,1,36,1.11,1.24
2889,2013,1,37,1.6,1.72
2890,2013,1,38,0.41,1.11
2891,2013,1,39,1.24,1.32
2892,2013,1,40,1.11,1.24
2893,2013,1,41,1.72,1.84
2894,2013,1,42,1.24,1.32
2895,2013,1,44,1.5,1.6
2896,2013,1,45,1.72,1.84
2897,2013,1,46,1.24,1.32
2898,2013,1,47,1.32,1.4
2899,2013,1,48,0.41,1.11
2900,2013,1,49,1.6,1.72
2901,2013,1,50,1.5,1.6
2902,2013,1,51,1.84,2.06
2903,2013,1,53,1.84,2.06
2904,2013,1,54,1.11,1.24
2905,2013,1,55,1.24,1.32
2906,2013,1,56,1.24,1.32
2907,2013,2,1,1.4,1.5
2908,2013,2,2,1.5,1.6
2909,2013,2,4,1.72,1.84
2910,2013,2,5,1.24,1.32
2912,2013,2,8,1.72,1.84
2913,2013,2,9,1.5,1.6
2914,2013,2,10,1.5,1.6
2915,2013,2,11,0.41,1.11
2916,2013,2,12,1.84,2.06
2917,2013,2,13,1.6,1.72
2919,2013,2,16,1.84,2.06
2920,2013,2,17,1.32,1.4
2921,2013,2,18,1.32,1.4
2922,2013,2,19,1.11,1.24
2923,2013,2,20,1.11,1.24
2924,2013,2,21,1.24,1.32
2925,2013,2,22,1.11,1.24
2926,2013,2,23,1.72,1.84
2928,2013,2,25,1.32,1.4
2929,2013,2,26,1.32,1.4
2930,2013,2,27,1.4,1.5
2931,2013,2,28,1.4,1.5
2932,2013,2,29,1.32,1.4
2933,2013,2,30,1.72,1.84
2934,2013,2,31,1.11,1.24
2935,2013,2,32,1.72,1.84
2936,2013,2,33,1.6,1.72
2937,2013,2,34,1.72,1.84
2938,2013,2,35,1.6,1.72
2939,2013,2,36,0.41,1.11
2940,2013,2,37,1.6,1.72
2941,2013,2,38,0.41,1.11
2942,2013,2,39,1.24,1.32
2943,2013,2,40,1.11,1.24
2944,2013,2,41,1.72,1.84
2945,2013,2,42,1.32,1.4
2946,2013,2,44,1.6,1.72
2947,2013,2,45,1.72,1.84
2948,2013,2,46,1.32,1.4
2949,2013,2,47,1.4,1.5
2950,2013,2,48,0.41,1.11
2951,2013,2,49,1.72,1.84
2952,2013,2,50,1.5,1.6
2953,2013,2,51,1.84,2.06
2954,2013,2,53,1.84,2.06
2955,2013,2,54,1.11,1.24
2956,2013,2,55,1.24,1.32
2957,2013,2,56,1.24,1.32
2958,2013,3,1,1.5,1.6
2959,2013,3,2,1.5,1.6
2960,2013,3,4,1.84,2.06
2961,2013,3,5,1.32,1.4
