,hpi_type,hpi_flavor,frequency,level,place_name,place_id,yr,period,index_nsa,index_sa
0,traditional,monthly,USA or Census Division,East North Central Division,DV_ENC,2014,purchase-only,1,168.83,172.02
1,traditional,monthly,USA or Census Division,East North Central Division,DV_ENC,2014,purchase-only,2,169.31,172.01
2,traditional,monthly,USA or Census Division,East North Central Division,DV_ENC,2014,purchase-only,3,171.71,172.61
3,traditional,monthly,USA or Census Division,East North Central Division,DV_ENC,2014,purchase-only,4,175.01,173.65
4,traditional,monthly,USA or Census Division,East North Central Division,DV_ENC,2014,purchase-only,5,176.62,173.14
5,traditional,monthly,USA or Census Division,East North Central Division,DV_ENC,2014,purchase-only,6,178.98,173.79
6,traditional,monthly,USA or Census Division,East North Central Division,DV_ENC,2014,purchase-only,7,180.14,174.99
7,traditional,monthly,USA or Census Division,East North Central Division,DV_ENC,2014,purchase-only,8,179.99,175.74
8,traditional,monthly,USA or Census Division,East North Central Division,DV_ENC,2014,purchase-only,9,178.98,175.96
9,traditional,monthly,USA or Census Division,East North Central Division,DV_ENC,2014,purchase-only,10,178.46,177.13
10,traditional,monthly,USA or Census Division,East North Central Division,DV_ENC,2014,purchase-only,11,177.35,176.63
11,traditional,monthly,USA or Census Division,East North Central Division,DV_ENC,2014,purchase-only,12,177.07,178.55
12,traditional,monthly,USA or Census Division,East South Central Division,DV_ESC,2014,purchase-only,1,188.91,189.95
13,traditional,monthly,USA or Census Division,East South Central Division,DV_ESC,2014,purchase-only,2,190.7,192.07
14,traditional,monthly,USA or Census Division,East South Central Division,DV_ESC,2014,purchase-only,3,192.14,191.46
15,traditional,monthly,USA or Census Division,East South Central Division,DV_ESC,2014,purchase-only,4,194.48,192.57
16,traditional,monthly,USA or Census Division,East South Central Division,DV_ESC,2014,purchase-only,5,196.32,192.7
17,traditional,monthly,USA or Census Division,East South Central Division,DV_ESC,2014,purchase-only,6,197.88,193.76
18,traditional,monthly,USA or Census Division,East South Central Division,DV_ESC,2014,purchase-only,7,197.9,194.16
19,traditional,monthly,USA or Census Division,East South Central Division,DV_ESC,2014,purchase-only,8,197.39,194.69
20,traditional,monthly,USA or Census Division,East South Central Division,DV_ESC,2014,purchase-only,9,196.9,194.67
21,traditional,monthly,USA or Census Division,East South Central Division,DV_ESC,2014,purchase-only,10,196.5,195.55
22,traditional,monthly,USA or Census Division,East South Central Division,DV_ESC,2014,purchase-only,11,197.82,197.3
23,traditional,monthly,USA or Census Division,East South Central Division,DV_ESC,2014,purchase-only,12,196.01,196.33
24,traditional,monthly,USA or Census Division,Middle Atlantic Division,DV_MA,2014,purchase-only,1,196.63,197.52
25,traditional,monthly,USA or Census Division,Middle Atlantic Division,DV_MA,2014,purchase-only,2,194.94,197.11
26,traditional,monthly,USA or Census Division,Middle Atlantic Division,DV_MA,2014,purchase-only,3,196.29,197.65
27,traditional,monthly,USA or Census Division,Middle Atlantic Division,DV_MA,2014,purchase-only,4,198.81,198.42
28,traditional,monthly,USA or Census Division,Middle Atlantic Division,DV_MA,2014,purchase-only,5,201.99,199.11
29,traditional,monthly,USA or Census Division,Middle Atlantic Division,DV_MA,2014,purchase-only,6,204.45,199.64
30,traditional,monthly,USA or Census Division,Middle Atlantic Division,DV_MA,2014,purchase-only,7,203.92,199.41
31,traditional,monthly,USA or Census Division,Middle Atlantic Division,DV_MA,2014,purchase-only,8,204.33,200.2
32,traditional,monthly,USA or Census Division,Middle Atlantic Division,DV_MA,2014,purchase-only,9,201.37,198.87
33,traditional,monthly,USA or Census Division,Middle Atlantic Division,DV_MA,2014,purchase-only,10,201.8,200.08
34,traditional,monthly,USA or Census Division,Middle Atlantic Division,DV_MA,2014,purchase-only,11,201.66,200.69
35,traditional,monthly,USA or Census Division,Middle Atlantic Division,DV_MA,2014,purchase-only,12,201.79,202.11
36,traditional,monthly,USA or Census Division,Mountain Division,DV_MT,2014,purchase-only,1,247.9,249.84
37,traditional,monthly,USA or Census Division,Mountain Division,DV_MT,2014,purchase-only,2,250.95,252.3
38,traditional,monthly,USA or Census Division,Mountain Division,DV_MT,2014,purchase-only,3,250.21,251.24
39,traditional,monthly,USA or Census Division,Mountain Division,DV_MT,2014,purchase-only,4,253.72,252.45
40,traditional,monthly,USA or Census Division,Mountain Division,DV_MT,2014,purchase-only,5,256.58,252.93
41,traditional,monthly,USA or Census Division,Mountain Division,DV_MT,2014,purchase-only,6,260.19,255.04
42,traditional,monthly,USA or Census Division,Mountain Division,DV_MT,2014,purchase-only,7,258.73,254.4
43,traditional,monthly,USA or Census Division,Mountain Division,DV_MT,2014,purchase-only,8,260.59,257.32
44,traditional,monthly,USA or Census Division,Mountain Division,DV_MT,2014,purchase-only,9,260.11,258.21
45,traditional,monthly,USA or Census Division,Mountain Division,DV_MT,2014,purchase-only,10,260.16,259.69
46,traditional,monthly,USA or Census Division,Mountain Division,DV_MT,2014,purchase-only,11,260.49,261.05
47,traditional,monthly,USA or Census Division,Mountain Division,DV_MT,2014,purchase-only,12,262.15,264.52
48,traditional,monthly,USA or Census Division,New England Division,DV_NE,2014,purchase-only,1,202.3,204.0
49,traditional,monthly,USA or Census Division,New England Division,DV_NE,2014,purchase-only,2,200.18,202.44
50,traditional,monthly,USA or Census Division,New England Division,DV_NE,2014,purchase-only,3,205.33,205.98
51,traditional,monthly,USA or Census Division,New England Division,DV_NE,2014,purchase-only,4,204.26,203.9
52,traditional,monthly,USA or Census Division,New England Division,DV_NE,2014,purchase-only,5,210.49,206.4
53,traditional,monthly,USA or Census Division,New England Division,DV_NE,2014,purchase-only,6,212.04,206.49
54,traditional,monthly,USA or Census Division,New England Division,DV_NE,2014,purchase-only,7,212.58,207.29
55,traditional,monthly,USA or Census Division,New England Division,DV_NE,2014,purchase-only,8,212.08,207.75
56,traditional,monthly,USA or Census Division,New England Division,DV_NE,2014,purchase-only,9,209.94,207.54
57,traditional,monthly,USA or Census Division,New England Division,DV_NE,2014,purchase-only,10,208.49,207.47
58,traditional,monthly,USA or Census Division,New England Division,DV_NE,2014,purchase-only,11,208.72,208.0
59,traditional,monthly,USA or Census Division,New England Division,DV_NE,2014,purchase-only,12,206.76,207.51
60,traditional,monthly,USA or Census Division,Pacific Division,DV_PAC,2014,purchase-only,1,214.32,217.19
61,traditional,monthly,USA or Census Division,Pacific Division,DV_PAC,2014,purchase-only,2,217.02,219.16
62,traditional,monthly,USA or Census Division,Pacific Division,DV_PAC,2014,purchase-only,3,220.34,220.36
63,traditional,monthly,USA or Census Division,Pacific Division,DV_PAC,2014,purchase-only,4,223.05,221.52
64,traditional,monthly,USA or Census Division,Pacific Division,DV_PAC,2014,purchase-only,5,225.13,222.04
65,traditional,monthly,USA or Census Division,Pacific Division,DV_PAC,2014,purchase-only,6,227.48,223.8
66,traditional,monthly,USA or Census Division,Pacific Division,DV_PAC,2014,purchase-only,7,229.18,225.06
67,traditional,monthly,USA or Census Division,Pacific Division,DV_PAC,2014,purchase-only,8,229.74,227.04
68,traditional,monthly,USA or Census Division,Pacific Division,DV_PAC,2014,purchase-only,9,228.55,226.81
