,year,qtr,state_fips,low,high
595,2001,4,38,0.41,1.11
596,2001,4,39,1.24,1.32
597,2001,4,40,1.11,1.24
598,2001,4,41,1.5,1.6
599,2001,4,42,0.41,1.11
600,2001,4,44,1.24,1.32
601,2001,4,45,1.5,1.6
602,2001,4,46,1.11,1.24
603,2001,4,47,1.24,1.32
604,2001,4,48,0.41,1.11
605,2001,4,49,1.5,1.6
606,2001,4,50,1.11,1.24
607,2001,4,51,1.4,1.5
608,2001,4,53,1.6,1.72
609,2001,4,54,1.11,1.24
610,2001,4,55,0.41,1.11
611,2001,4,56,1.11,1.24
